SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,CostAmount
S00090,2023-12-20,ST01,C0013,P040,3,121.88,0.0,365.64,67.14
S00091,2023-12-04,ST07,C0114,P020,6,98.43,0.1,531.52,359.28
S00092,2023-12-14,ST01,C0025,P011,3,96.17,0.0,288.51,137.25
S00093,2023-06-19,ST07,C0049,P042,6,132.25,0.0,793.5,222.24
S00094,2023-02-10,ST07,C0072,P005,6,99.71,0.0,598.26,336.0
S00095,2024-02-05,ST01,C0198,P020,1,98.43,0.0,98.43,59.88
S00096,2023-08-28,ST08,C0068,P010,2,55.91,0.0,111.82,116.18
S00097,2025-02-01,ST01,C0191,P041,4,102.52,0.0,410.08,177.4
S00098,2024-05-29,ST02,C0029,P001,6,144.68,0.0,868.08,134.88
S00099,2023-05-18,ST05,C0149,P030,3,128.97,0.0,386.91,40.83
S00100,2024-09-26,ST08,C0145,P045,1,128.71,0.15,109.4,46.47
S00101,2023-03-30,ST04,C0040,P045,1,128.71,0.05,122.27,46.47
S00102,2024-08-31,ST01,C0097,P044,1,63.39,0.05,60.22,52.55
S00103,2025-01-06,ST07,C0120,P028,2,93.53,0.0,187.06,79.1
S00104,2024-01-13,ST02,C0012,P037,3,142.97,0.15,364.57,27.78
S00105,2024-11-20,ST08,C0185,P019,2,49.2,0.0,98.4,94.88
S00106,2023-07-27,ST05,C0172,P002,2,87.83,0.0,175.66,56.54
S00107,2023-02-25,ST01,C0115,P045,6,128.71,0.0,772.26,278.82
S00108,2023-12-19,ST08,C0112,P037,2,142.97,0.15,243.05,18.52
S00109,2024-04-21,ST05,C0013,P048,3,131.28,0.0,393.84,55.53
S00110,2025-05-29,ST08,C0095,P039,4,108.79,0.1,391.64,106.6
S00111,2024-09-17,ST06,C0096,P011,6,96.17,0.1,519.32,274.5
S00112,2025-05-03,ST06,C0038,P035,6,24.85,0.15,126.74,317.4
S00113,2024-06-05,ST03,C0105,P023,5,103.23,0.05,490.34,275.25
S00114,2023-08-03,ST06,C0120,P024,3,52.66,0.0,157.98,128.04
S00115,2023-09-30,ST08,C0193,P044,6,63.39,0.1,342.31,315.3
S00116,2023-12-26,ST07,C0093,P027,1,121.52,0.1,109.37,13.41
S00117,2025-02-16,ST06,C0036,P017,3,25.33,0.15,64.59,172.11
S00118,2023-02-01,ST03,C0116,P030,1,128.97,0.0,128.97,13.61
S00119,2024-06-04,ST03,C0161,P033,5,113.38,0.0,566.9,251.95
S00120,2024-04-15,ST03,C0162,P035,5,24.85,0.0,124.25,264.5
S00121,2024-06-04,ST07,C0178,P014,1,97.8,0.05,92.91,48.13
S00122,2025-06-14,ST01,C0129,P008,5,103.99,0.0,519.95,244.45
S00123,2023-05-15,ST05,C0002,P037,5,142.97,0.15,607.62,46.3
S00124,2025-05-14,ST04,C0190,P011,6,96.17,0.15,490.47,274.5
S00125,2024-02-14,ST02,C0126,P022,3,102.95,0.15,262.52,89.79
S00126,2025-05-14,ST07,C0141,P024,5,52.66,0.15,223.8,213.4
S00127,2023-06-02,ST06,C0057,P026,6,48.78,0.05,278.05,230.76
S00128,2023-07-13,ST02,C0193,P045,2,128.71,0.15,218.81,92.94
S00129,2023-06-25,ST03,C0117,P042,6,132.25,0.0,793.5,222.24
S00130,2023-02-08,ST02,C0001,P046,4,33.17,0.0,132.68,204.36
S00131,2023-03-13,ST05,C0178,P005,2,99.71,0.05,189.45,112.0
S00132,2024-09-14,ST02,C0054,P020,2,98.43,0.0,196.86,119.76
S00133,2023-07-03,ST05,C0008,P002,1,87.83,0.0,87.83,28.27
S00134,2025-01-19,ST02,C0199,P012,1,107.39,0.0,107.39,31.06
S00135,2023-05-15,ST07,C0031,P029,3,106.78,0.15,272.29,159.78
S00136,2024-06-26,ST05,C0003,P026,3,48.78,0.05,139.02,115.38
S00137,2023-10-19,ST05,C0054,P024,4,52.66,0.1,189.58,170.72
S00138,2024-10-24,ST01,C0123,P038,6,124.25,0.05,708.23,335.22
S00139,2025-01-05,ST06,C0128,P003,3,37.7,0.0,113.1,97.02
S00140,2023-03-21,ST08,C0180,P017,4,25.33,0.1,91.19,229.48
S00141,2024-05-21,ST07,C0026,P050,6,61.96,0.1,334.58,347.28
S00142,2024-05-17,ST08,C0090,P040,1,121.88,0.05,115.79,22.38
S00143,2025-02-19,ST02,C0125,P003,4,37.7,0.0,150.8,129.36
S00144,2024-04-18,ST02,C0024,P035,2,24.85,0.15,42.25,105.8
S00145,2025-04-15,ST02,C0162,P046,4,33.17,0.05,126.05,204.36
S00146,2023-01-12,ST04,C0087,P048,5,131.28,0.05,623.58,92.55
S00147,2024-09-30,ST05,C0083,P003,5,37.7,0.15,160.22,161.7
S00148,2024-06-19,ST07,C0056,P029,1,106.78,0.0,106.78,53.26
S00149,2024-12-13,ST01,C0033,P044,5,63.39,0.05,301.1,262.75
S00150,2023-04-13,ST03,C0129,P005,4,99.71,0.0,398.84,224.0
S00151,2023-05-17,ST07,C0145,P045,5,128.71,0.15,547.02,232.35
S00152,2024-05-31,ST05,C0013,P047,5,84.64,0.0,423.2,121.35
S00153,2024-06-14,ST08,C0133,P045,2,128.71,0.05,244.55,92.94
S00154,2025-05-28,ST01,C0042,P019,3,49.2,0.1,132.84,142.32
S00155,2023-04-02,ST02,C0110,P022,6,102.95,0.0,617.7,179.58
S00156,2023-04-07,ST08,C0051,P005,4,99.71,0.0,398.84,224.0
S00157,2024-12-11,ST03,C0100,P001,4,144.68,0.0,578.72,89.92
S00158,2024-12-16,ST04,C0047,P020,3,98.43,0.15,251.0,179.64
S00159,2025-03-01,ST04,C0127,P038,6,124.25,0.05,708.23,335.22
S00160,2025-03-12,ST02,C0030,P045,2,128.71,0.0,257.42,92.94
S00161,2025-03-10,ST01,C0190,P009,4,128.46,0.05,488.15,72.24
S00162,2023-08-29,ST07,C0179,P024,1,52.66,0.15,44.76,42.68
S00163,2024-08-19,ST06,C0178,P034,6,77.23,0.1,417.04,249.9
S00164,2024-06-05,ST08,C0108,P007,1,124.91,0.0,124.91,47.76
S00165,2024-03-06,ST07,C0143,P028,1,93.53,0.0,93.53,39.55
S00166,2023-06-06,ST06,C0068,P006,4,38.24,0.05,145.31,189.08
S00167,2024-01-03,ST03,C0063,P033,1,113.38,0.0,113.38,50.39
S00168,2024-07-17,ST03,C0023,P011,6,96.17,0.0,577.02,274.5
S00169,2024-09-12,ST06,C0169,P029,5,106.78,0.0,533.9,266.3
S00170,2024-01-01,ST03,C0018,P031,5,145.67,0.05,691.93,64.7
S00171,2023-12-27,ST01,C0144,P008,2,103.99,0.0,207.98,97.78
S00172,2025-03-11,ST03,C0077,P010,6,55.91,0.15,285.14,348.54
S00173,2024-09-21,ST06,C0003,P026,1,48.78,0.1,43.9,38.46
S00174,2023-02-14,ST05,C0029,P001,5,144.68,0.1,651.06,112.4
S00175,2024-03-08,ST03,C0078,P001,3,144.68,0.0,434.04,67.44
S00176,2023-09-02,ST04,C0055,P031,6,145.67,0.05,830.32,77.64
S00177,2023-12-06,ST04,C0123,P031,1,145.67,0.0,145.67,12.94
S00178,2023-11-04,ST02,C0142,P025,2,112.7,0.15,191.59,17.34
S00179,2024-12-24,ST03,C0131,P009,1,128.46,0.05,122.04,18.06
S00180,2023-10-11,ST03,C0019,P033,2,113.38,0.15,192.75,100.78
S00181,2025-02-06,ST06,C0106,P049,2,76.91,0.0,153.82,51.04
S00182,2025-02-20,ST07,C0016,P027,1,121.52,0.0,121.52,13.41
S00183,2024-09-15,ST01,C0102,P050,2,61.96,0.15,105.33,115.76
S00184,2025-06-04,ST07,C0096,P047,4,84.64,0.1,304.7,97.08
S00185,2023-07-27,ST03,C0192,P015,4,36.23,0.1,130.43,94.16
S00186,2023-10-01,ST03,C0105,P033,2,113.38,0.1,204.08,100.78
S00187,2024-11-08,ST08,C0074,P034,1,77.23,0.05,73.37,41.65
S00188,2024-12-06,ST07,C0008,P039,1,108.79,0.1,97.91,26.65
S00189,2023-10-20,ST03,C0181,P006,6,38.24,0.0,229.44,283.62
S00190,2024-10-25,ST07,C0072,P024,3,52.66,0.05,150.08,128.04
S00191,2024-07-05,ST05,C0088,P042,5,132.25,0.1,595.12,185.2
S00192,2023-03-23,ST08,C0079,P021,5,130.5,0.05,619.88,102.75
S00193,2024-02-07,ST03,C0194,P025,4,112.7,0.0,450.8,34.68
S00194,2025-04-12,ST08,C0178,P006,3,38.24,0.1,103.25,141.81
S00195,2024-01-06,ST02,C0158,P034,3,77.23,0.15,196.94,124.95
S00196,2024-03-17,ST05,C0070,P018,5,75.37,0.1,339.17,203.0
S00197,2024-04-15,ST06,C0081,P015,2,36.23,0.1,65.21,47.08
S00198,2023-12-07,ST05,C0090,P013,2,87.68,0.0,175.36,82.22
S00199,2023-02-21,ST07,C0174,P034,3,77.23,0.0,231.69,124.95
S00200,2024-12-22,ST04,C0109,P039,5,108.79,0.0,543.95,133.25
S00201,2023-03-01,ST05,C0177,P050,2,61.96,0.15,105.33,115.76
S00202,2024-10-08,ST06,C0093,P044,2,63.39,0.05,120.44,105.1
S00203,2024-01-03,ST03,C0134,P038,1,124.25,0.15,105.61,55.87
S00204,2024-12-12,ST04,C0075,P047,2,84.64,0.1,152.35,48.54
S00205,2024-04-22,ST03,C0087,P041,6,102.52,0.05,584.36,266.1
S00206,2024-06-02,ST07,C0063,P024,4,52.66,0.15,179.04,170.72
S00207,2023-06-08,ST08,C0146,P018,5,75.37,0.0,376.85,203.0
S00208,2025-03-08,ST02,C0066,P010,3,55.91,0.0,167.73,174.27
S00209,2023-07-02,ST07,C0141,P025,1,112.7,0.0,112.7,8.67
S00210,2023-02-22,ST08,C0066,P013,4,87.68,0.1,315.65,164.44
S00211,2023-01-31,ST07,C0071,P038,2,124.25,0.0,248.5,111.74
S00212,2023-02-16,ST08,C0110,P004,5,112.08,0.0,560.4,59.45
S00213,2023-11-25,ST07,C0112,P031,3,145.67,0.0,437.01,38.82
S00214,2023-07-01,ST02,C0047,P009,3,128.46,0.0,385.38,54.18
S00215,2023-12-02,ST05,C0018,P003,1,37.7,0.1,33.93,32.34
S00216,2024-02-27,ST03,C0069,P035,1,24.85,0.15,21.12,52.9
S00217,2023-12-28,ST04,C0109,P044,1,63.39,0.15,53.88,52.55
S00218,2025-04-20,ST01,C0016,P037,1,142.97,0.0,142.97,9.26
S00219,2024-09-12,ST05,C0185,P040,3,121.88,0.05,347.36,67.14
S00220,2023-08-09,ST04,C0060,P016,5,134.43,0.1,604.94,79.95
S00221,2024-03-21,ST05,C0193,P037,5,142.97,0.0,714.85,46.3
S00222,2024-02-11,ST01,C0039,P016,5,134.43,0.1,604.94,79.95
S00223,2025-05-25,ST04,C0196,P021,2,130.5,0.05,247.95,41.1
S00224,2024-03-08,ST01,C0139,P014,2,97.8,0.0,195.6,96.26
S00225,2024-05-17,ST05,C0190,P037,4,142.97,0.0,571.88,37.04
S00226,2023-11-10,ST07,C0064,P007,2,124.91,0.0,249.82,95.52
S00227,2025-02-02,ST03,C0157,P030,2,128.97,0.0,257.94,27.22
S00228,2023-08-24,ST01,C0028,P018,2,75.37,0.15,128.13,81.2
S00229,2025-01-26,ST07,C0112,P020,4,98.43,0.0,393.72,239.52
S00230,2023-03-24,ST02,C0026,P015,4,36.23,0.15,123.18,94.16
S00231,2023-01-26,ST03,C0114,P029,6,106.78,0.05,608.65,319.56
S00232,2023-02-15,ST07,C0193,P040,1,121.88,0.1,109.69,22.38
S00233,2025-02-16,ST04,C0070,P049,6,76.91,0.05,438.39,153.12
S00234,2024-12-11,ST06,C0135,P028,3,93.53,0.0,280.59,118.65
S00235,2023-07-15,ST07,C0130,P032,4,112.21,0.1,403.96,152.68
S00236,2023-07-21,ST03,C0096,P014,6,97.8,0.0,586.8,288.78
S00237,2023-07-25,ST07,C0179,P039,2,108.79,0.05,206.7,53.3
S00238,2023-07-08,ST06,C0056,P014,3,97.8,0.05,278.73,144.39
S00239,2024-08-16,ST05,C0064,P018,2,75.37,0.05,143.2,81.2
S00240,2024-04-12,ST01,C0121,P039,6,108.79,0.1,587.47,159.9
S00241,2025-02-26,ST02,C0166,P016,4,134.43,0.15,457.06,63.96
S00242,2025-05-31,ST06,C0100,P002,3,87.83,0.05,250.32,84.81
S00243,2024-09-13,ST07,C0126,P002,6,87.83,0.05,500.63,169.62
S00244,2024-03-07,ST07,C0023,P028,3,93.53,0.0,280.59,118.65
S00245,2023-05-01,ST06,C0069,P015,3,36.23,0.05,103.26,70.62
S00246,2023-06-07,ST04,C0044,P011,5,96.17,0.15,408.72,228.75
S00247,2024-12-30,ST04,C0154,P034,1,77.23,0.05,73.37,41.65
S00248,2023-07-23,ST04,C0013,P024,1,52.66,0.15,44.76,42.68
S00249,2024-07-08,ST01,C0024,P011,3,96.17,0.0,288.51,137.25
S00250,2025-05-09,ST08,C0066,P034,2,77.23,0.0,154.46,83.3
S00251,2024-10-11,ST05,C0112,P010,2,55.91,0.0,111.82,116.18
S00252,2024-10-08,ST03,C0080,P027,5,121.52,0.0,607.6,67.05
S00253,2023-09-08,ST01,C0024,P015,5,36.23,0.15,153.98,117.7
S00254,2025-03-26,ST05,C0046,P048,5,131.28,0.05,623.58,92.55
S00255,2025-02-14,ST04,C0043,P028,1,93.53,0.0,93.53,39.55
S00256,2024-02-23,ST02,C0183,P039,1,108.79,0.0,108.79,26.65
S00257,2023-07-18,ST02,C0046,P018,4,75.37,0.1,271.33,162.4
S00258,2023-10-03,ST03,C0095,P049,2,76.91,0.1,138.44,51.04
S00259,2024-04-19,ST01,C0063,P012,3,107.39,0.0,322.17,93.18
S00260,2024-07-22,ST01,C0070,P050,5,61.96,0.1,278.82,289.4
S00261,2024-06-16,ST03,C0101,P004,2,112.08,0.0,224.16,23.78
S00262,2023-01-07,ST03,C0040,P031,2,145.67,0.1,262.21,25.88
S00263,2025-06-29,ST05,C0147,P024,4,52.66,0.0,210.64,170.72
S00264,2025-05-30,ST02,C0045,P030,6,128.97,0.0,773.82,81.66
S00265,2025-02-03,ST01,C0164,P011,1,96.17,0.05,91.36,45.75
S00266,2024-05-26,ST05,C0001,P009,4,128.46,0.1,462.46,72.24
S00267,2024-06-24,ST07,C0174,P032,5,112.21,0.1,504.94,190.85
S00268,2023-09-15,ST08,C0104,P047,6,84.64,0.1,457.06,145.62
S00269,2024-09-15,ST07,C0156,P023,3,103.23,0.1,278.72,165.15
S00270,2024-03-14,ST08,C0043,P027,2,121.52,0.0,243.04,26.82
S00271,2023-11-03,ST06,C0019,P014,3,97.8,0.0,293.4,144.39
S00272,2023-09-09,ST07,C0106,P039,4,108.79,0.0,435.16,106.6
S00273,2023-10-24,ST06,C0007,P024,4,52.66,0.0,210.64,170.72
S00274,2023-09-10,ST04,C0005,P049,4,76.91,0.15,261.49,102.08
S00275,2024-08-20,ST08,C0038,P049,5,76.91,0.15,326.87,127.6
S00276,2025-05-17,ST05,C0167,P009,4,128.46,0.0,513.84,72.24
S00277,2024-08-16,ST04,C0005,P010,4,55.91,0.0,223.64,232.36
S00278,2023-06-21,ST08,C0103,P032,6,112.21,0.05,639.6,229.02
S00279,2024-04-16,ST08,C0053,P024,2,52.66,0.05,100.05,85.36
S00280,2023-08-07,ST03,C0063,P004,6,112.08,0.0,672.48,71.34
S00281,2023-02-21,ST01,C0096,P019,3,49.2,0.05,140.22,142.32
S00282,2025-02-20,ST07,C0168,P025,1,112.7,0.1,101.43,8.67
S00283,2025-01-07,ST08,C0091,P019,1,49.2,0.05,46.74,47.44
S00284,2024-01-04,ST06,C0091,P005,2,99.71,0.0,199.42,112.0
S00285,2023-10-19,ST01,C0043,P033,1,113.38,0.0,113.38,50.39
S00286,2023-05-08,ST05,C0183,P048,1,131.28,0.0,131.28,18.51
S00287,2023-01-24,ST06,C0056,P033,1,113.38,0.05,107.71,50.39
S00288,2024-03-29,ST08,C0086,P026,3,48.78,0.1,131.71,115.38
S00289,2023-09-27,ST06,C0073,P021,1,130.5,0.1,117.45,20.55
S00290,2025-04-06,ST08,C0032,P038,4,124.25,0.05,472.15,223.48
S00291,2024-01-04,ST01,C0132,P049,6,76.91,0.1,415.31,153.12
S00292,2024-11-02,ST02,C0192,P047,2,84.64,0.05,160.82,48.54
S00293,2024-06-15,ST08,C0170,P022,6,102.95,0.15,525.05,179.58
S00294,2025-06-25,ST03,C0069,P041,2,102.52,0.0,205.04,88.7
S00295,2025-01-13,ST07,C0158,P006,3,38.24,0.05,108.98,141.81
S00296,2023-11-09,ST01,C0011,P015,3,36.23,0.0,108.69,70.62
S00297,2024-10-11,ST07,C0050,P009,5,128.46,0.0,642.3,90.3
S00298,2024-09-17,ST07,C0039,P027,5,121.52,0.1,546.84,67.05
S00299,2024-08-04,ST01,C0054,P017,1,25.33,0.0,25.33,57.37
S00300,2024-03-09,ST08,C0068,P003,1,37.7,0.0,37.7,32.34
S00301,2025-05-06,ST08,C0043,P030,1,128.97,0.0,128.97,13.61
S00302,2023-11-23,ST06,C0118,P043,5,121.53,0.15,516.5,235.85
S00303,2023-10-01,ST05,C0121,P024,5,52.66,0.1,236.97,213.4
S00304,2023-06-04,ST06,C0190,P036,6,23.33,0.15,118.98,256.74
S00305,2024-08-22,ST03,C0135,P021,6,130.5,0.15,665.55,123.3
S00306,2024-05-23,ST05,C0151,P046,5,33.17,0.0,165.85,255.45
S00307,2023-09-25,ST07,C0006,P015,4,36.23,0.0,144.92,94.16
S00308,2024-03-04,ST05,C0131,P022,4,102.95,0.15,350.03,119.72
S00309,2024-11-05,ST05,C0014,P026,3,48.78,0.0,146.34,115.38
S00310,2024-10-22,ST04,C0143,P010,2,55.91,0.0,111.82,116.18
S00311,2024-05-24,ST02,C0040,P030,6,128.97,0.1,696.44,81.66
S00312,2025-04-11,ST07,C0093,P033,6,113.38,0.05,646.27,302.34
S00313,2025-05-12,ST06,C0146,P027,3,121.52,0.0,364.56,40.23
S00314,2025-03-30,ST08,C0042,P016,6,134.43,0.0,806.58,95.94
S00315,2024-08-19,ST01,C0081,P050,4,61.96,0.05,235.45,231.52
S00316,2023-07-22,ST07,C0040,P028,4,93.53,0.0,374.12,158.2
S00317,2023-07-23,ST02,C0095,P022,3,102.95,0.0,308.85,89.79
S00318,2025-03-04,ST07,C0126,P032,5,112.21,0.0,561.05,190.85
S00319,2024-01-19,ST04,C0111,P026,3,48.78,0.0,146.34,115.38
S00320,2025-03-18,ST06,C0043,P040,2,121.88,0.1,219.38,44.76
S00321,2023-12-05,ST07,C0152,P021,1,130.5,0.0,130.5,20.55
S00322,2024-06-17,ST01,C0022,P006,2,38.24,0.1,68.83,94.54
S00323,2024-02-27,ST02,C0127,P028,6,93.53,0.15,477.0,237.3
S00324,2023-04-18,ST01,C0014,P010,4,55.91,0.0,223.64,232.36
S00325,2023-02-18,ST05,C0035,P003,3,37.7,0.15,96.14,97.02
S00326,2024-07-31,ST06,C0180,P044,6,63.39,0.1,342.31,315.3
S00327,2024-06-12,ST03,C0011,P006,3,38.24,0.0,114.72,141.81
S00328,2024-07-19,ST02,C0010,P007,1,124.91,0.1,112.42,47.76
S00329,2024-03-06,ST03,C0050,P001,4,144.68,0.05,549.78,89.92
S00330,2023-06-27,ST05,C0069,P007,5,124.91,0.1,562.1,238.8
S00331,2023-04-20,ST05,C0157,P005,2,99.71,0.0,199.42,112.0
S00332,2024-09-12,ST05,C0156,P030,2,128.97,0.15,219.25,27.22
S00333,2024-04-27,ST02,C0180,P050,4,61.96,0.1,223.06,231.52
S00334,2024-01-12,ST05,C0177,P015,1,36.23,0.05,34.42,23.54
S00335,2025-03-04,ST03,C0171,P022,6,102.95,0.05,586.82,179.58
S00336,2023-05-18,ST05,C0092,P029,3,106.78,0.15,272.29,159.78
S00337,2025-06-23,ST07,C0103,P046,2,33.17,0.0,66.34,102.18
S00338,2023-11-09,ST04,C0084,P043,2,121.53,0.05,230.91,94.34
S00339,2025-06-18,ST03,C0181,P010,1,55.91,0.0,55.91,58.09
S00340,2025-03-24,ST02,C0151,P004,2,112.08,0.0,224.16,23.78
S00341,2025-06-17,ST03,C0033,P029,6,106.78,0.0,640.68,319.56
S00342,2023-05-11,ST06,C0198,P019,6,49.2,0.0,295.2,284.64
S00343,2025-02-24,ST08,C0062,P038,4,124.25,0.05,472.15,223.48
S00344,2023-06-14,ST05,C0165,P008,6,103.99,0.0,623.94,293.34
S00345,2023-03-15,ST01,C0168,P031,3,145.67,0.0,437.01,38.82
S00346,2023-10-31,ST06,C0050,P026,1,48.78,0.0,48.78,38.46
S00347,2025-06-17,ST07,C0065,P003,2,37.7,0.05,71.63,64.68
