ReturnID,SalesID,ReturnDate,ProductID,StoreID,ReturnQuantity,RefundAmount,ReturnReason
RET0046,SAL01985,2024-04-22,PRD030,STR02,1,641.71,Wrong Item
RET0047,SAL02031,2022-05-20,PRD033,STR08,1,82.9,Changed Mind
RET0048,SAL02657,2023-01-10,PRD011,STR09,1,439.25,Changed Mind
RET0049,SAL01617,2023-01-23,PRD023,STR06,1,241.93,Defective
RET0050,SAL05202,2023-07-13,PRD045,STR09,1,51.22,Damaged
RET0051,SAL05549,2023-12-22,PRD001,STR02,1,1029.12,Defective
RET0052,SAL03874,2025-06-23,PRD062,STR08,1,273.76,Damaged
RET0053,SAL02298,2024-09-22,PRD022,STR02,1,716.22,Damaged
RET0054,SAL04138,2022-07-19,PRD051,STR06,3,2914.7,Damaged
RET0055,SAL00542,2023-10-20,PRD080,STR02,1,502.66,Defective
RET0056,SAL03533,2025-03-28,PRD063,STR04,1,703.15,Wrong Item
RET0057,SAL00262,2025-03-07,PRD055,STR03,1,1013.17,Not as Described
RET0058,SAL04162,2022-08-13,PRD033,STR07,1,56.95,Wrong Item
RET0059,SAL03262,2025-04-23,PRD018,STR04,1,949.84,Wrong Item
RET0060,SAL04265,2024-03-16,PRD069,STR05,1,537.49,Damaged
RET0061,SAL04877,2023-11-09,PRD066,STR02,1,448.02,Wrong Item
RET0062,SAL00337,2022-08-15,PRD071,STR08,1,378.12,Wrong Item
RET0063,SAL04365,2022-05-24,PRD047,STR02,1,389.71,Defective
RET0064,SAL04907,2024-08-24,PRD019,STR05,1,1519.56,Changed Mind
RET0065,SAL00048,2023-10-15,PRD031,STR08,1,284.62,Not as Described
RET0066,SAL04535,2022-06-18,PRD024,STR05,1,448.31,Defective
RET0067,SAL04176,2022-08-18,PRD052,STR10,1,484.48,Not as Described
RET0068,SAL02213,2023-08-27,PRD062,STR07,1,438.32,Changed Mind
RET0069,SAL05630,2022-05-26,PRD051,STR06,1,426.94,Wrong Item
RET0070,SAL00025,2023-12-16,PRD027,STR07,1,99.85,Changed Mind
RET0071,SAL05186,2023-11-16,PRD038,STR07,1,631.05,Defective
RET0072,SAL01988,2025-03-16,PRD050,STR09,1,280.34,Not as Described
RET0073,SAL01753,2024-09-22,PRD060,STR05,1,210.11,Defective
RET0074,SAL02492,2024-05-08,PRD041,STR02,1,285.04,Wrong Item
RET0075,SAL04496,2024-02-17,PRD052,STR03,2,1195.0,Wrong Item
RET0076,SAL05740,2025-05-12,PRD050,STR11,1,286.46,Changed Mind
RET0077,SAL01882,2023-12-26,PRD033,STR05,1,39.03,Not as Described
RET0078,SAL03168,2025-03-07,PRD007,STR07,1,180.41,Defective
RET0079,SAL00387,2025-04-29,PRD034,STR01,1,842.13,Defective
RET0080,SAL00962,2023-07-26,PRD072,STR08,1,1322.72,Not as Described
RET0081,SAL00247,2023-05-03,PRD052,STR06,1,435.49,Changed Mind
RET0082,SAL02847,2025-04-08,PRD060,STR10,1,173.16,Defective
RET0083,SAL04661,2023-05-06,PRD050,STR03,1,613.62,Damaged
RET0084,SAL01313,2023-06-08,PRD061,STR09,1,104.88,Not as Described
RET0085,SAL00817,2023-10-08,PRD027,STR05,2,403.84,Damaged
RET0086,SAL00028,2022-08-11,PRD004,STR10,1,129.74,Damaged
RET0087,SAL05124,2023-06-09,PRD009,STR11,1,155.0,Changed Mind
RET0088,SAL02986,2025-06-02,PRD030,STR07,1,219.79,Changed Mind
RET0089,SAL03685,2023-08-27,PRD033,STR08,1,81.31,Wrong Item
RET0090,SAL00768,2023-11-09,PRD017,STR08,2,196.59,Defective
RET0091,SAL04904,2025-06-25,PRD011,STR05,1,273.65,Changed Mind
RET0092,SAL01986,2025-07-11,PRD040,STR05,1,99.55,Not as Described
RET0093,SAL04648,2023-11-07,PRD048,STR10,1,52.03,Changed Mind
RET0094,SAL04490,2023-09-20,PRD045,STR02,1,43.78,Damaged
RET0095,SAL02801,2024-11-24,PRD077,STR12,1,367.19,Changed Mind
RET0096,SAL03288,2025-04-03,PRD072,STR10,1,484.32,Changed Mind
RET0097,SAL02258,2023-03-29,PRD024,STR07,1,760.12,Defective
RET0098,SAL04082,2023-10-14,PRD079,STR05,1,610.56,Defective
RET0099,SAL03863,2025-04-18,PRD040,STR07,2,317.51,Changed Mind
RET0100,SAL03073,2024-12-01,PRD031,STR10,1,347.28,Defective
RET0101,SAL05737,2023-08-14,PRD052,STR11,1,818.84,Wrong Item
RET0102,SAL04601,2025-03-05,PRD047,STR02,3,917.12,Not as Described
RET0103,SAL05139,2024-07-23,PRD037,STR09,1,183.45,Wrong Item
RET0104,SAL03458,2025-07-12,PRD050,STR09,1,542.44,Wrong Item
RET0105,SAL05882,2022-07-09,PRD036,STR01,1,424.14,Defective
RET0106,SAL04003,2024-04-27,PRD036,STR03,1,1266.82,Damaged
RET0107,SAL05371,2023-09-04,PRD029,STR04,1,573.61,Damaged
RET0108,SAL00893,2023-01-21,PRD030,STR09,1,294.42,Defective
RET0109,SAL01394,2022-02-22,PRD001,STR06,3,2459.23,Defective
RET0110,SAL03233,2025-08-21,PRD020,STR11,1,134.84,Changed Mind
RET0111,SAL00107,2022-04-25,PRD039,STR05,1,165.56,Wrong Item
RET0112,SAL02741,2024-07-20,PRD054,STR01,1,163.49,Not as Described
RET0113,SAL04025,2022-08-23,PRD024,STR01,1,374.28,Wrong Item
RET0114,SAL02554,2022-12-23,PRD059,STR06,1,365.75,Damaged
RET0115,SAL05099,2023-11-13,PRD049,STR06,1,524.44,Changed Mind
RET0116,SAL02157,2025-07-15,PRD020,STR08,1,110.59,Defective
RET0117,SAL05089,2024-04-05,PRD005,STR12,1,330.5,Changed Mind
RET0118,SAL02466,2023-09-18,PRD036,STR07,1,590.07,Wrong Item
RET0119,SAL00007,2022-10-31,PRD049,STR05,1,377.41,Not as Described
RET0120,SAL01654,2022-12-20,PRD002,STR04,1,631.06,Not as Described
RET0121,SAL03813,2025-04-06,PRD001,STR01,1,533.92,Changed Mind
RET0122,SAL04799,2022-11-27,PRD007,STR08,1,160.63,Not as Described
RET0123,SAL05663,2022-08-13,PRD027,STR11,1,183.67,Changed Mind
RET0124,SAL00740,2025-05-22,PRD074,STR06,1,717.8,Wrong Item
RET0125,SAL05509,2022-03-16,PRD036,STR03,1,622.45,Changed Mind
RET0126,SAL02835,2022-02-06,PRD071,STR03,1,296.54,Damaged
RET0127,SAL05743,2022-09-26,PRD029,STR08,1,805.0,Defective
RET0128,SAL05774,2023-12-31,PRD032,STR01,1,330.24,Damaged
RET0129,SAL03406,2025-06-11,PRD037,STR07,1,130.43,Not as Described
RET0130,SAL03673,2024-05-24,PRD074,STR06,1,573.39,Wrong Item
RET0131,SAL05919,2022-04-23,PRD030,STR01,2,820.43,Damaged
RET0132,SAL00945,2024-01-10,PRD031,STR06,1,449.4,Changed Mind
RET0133,SAL00910,2023-02-24,PRD046,STR12,1,436.5,Not as Described
RET0134,SAL00525,2022-02-20,PRD052,STR02,2,1732.6,Damaged
RET0135,SAL00984,2022-04-07,PRD047,STR09,1,223.0,Damaged
RET0136,SAL05539,2024-06-15,PRD009,STR02,3,580.26,Changed Mind
RET0137,SAL00195,2023-07-07,PRD068,STR04,1,455.01,Defective
RET0138,SAL01455,2024-09-24,PRD031,STR01,1,897.47,Not as Described
RET0139,SAL03029,2022-06-25,PRD022,STR01,1,388.91,Defective
RET0140,SAL01327,2024-12-24,PRD072,STR07,1,607.89,Wrong Item
RET0141,SAL02098,2024-11-29,PRD076,STR10,1,520.7,Not as Described
RET0142,SAL03294,2022-03-12,PRD027,STR04,1,501.05,Damaged
RET0143,SAL02696,2024-11-16,PRD075,STR01,1,257.29,Wrong Item
RET0144,SAL04280,2022-05-27,PRD056,STR07,1,612.45,Not as Described
RET0145,SAL02362,2023-04-08,PRD034,STR02,1,757.87,Damaged
RET0146,SAL02874,2023-08-22,PRD073,STR08,1,195.37,Wrong Item
RET0147,SAL03897,2024-12-12,PRD010,STR08,1,216.65,Not as Described
RET0148,SAL00629,2023-07-26,PRD052,STR05,1,522.94,Wrong Item
RET0149,SAL03744,2023-08-16,PRD047,STR11,1,361.57,Not as Described
RET0150,SAL04677,2023-03-31,PRD008,STR09,1,732.14,Changed Mind
RET0151,SAL01204,2024-08-13,PRD012,STR12,1,1030.35,Defective
RET0152,SAL04939,2023-09-11,PRD075,STR12,1,353.0,Not as Described
RET0153,SAL04079,2024-09-21,PRD015,STR06,1,290.06,Damaged
RET0154,SAL00490,2024-08-06,PRD048,STR10,1,64.98,Wrong Item
RET0155,SAL02635,2023-10-17,PRD078,STR09,2,290.32,Defective
RET0156,SAL00239,2025-07-22,PRD033,STR04,1,64.74,Changed Mind
RET0157,SAL05049,2025-08-22,PRD001,STR01,1,953.87,Defective
RET0158,SAL03267,2024-03-10,PRD061,STR08,1,105.96,Wrong Item
RET0159,SAL04518,2025-02-07,PRD049,STR10,1,249.19,Damaged
RET0160,SAL05075,2025-01-11,PRD019,STR11,3,1235.73,Not as Described
RET0161,SAL05708,2022-09-11,PRD046,STR10,1,265.46,Not as Described
RET0162,SAL02443,2025-07-01,PRD023,STR10,1,289.27,Wrong Item
RET0163,SAL02984,2022-11-04,PRD004,STR06,1,172.85,Damaged
RET0164,SAL05782,2022-05-22,PRD007,STR10,1,254.56,Damaged
RET0165,SAL01384,2022-09-11,PRD070,STR03,1,155.11,Wrong Item
RET0166,SAL01879,2023-02-28,PRD077,STR10,1,272.62,Damaged
RET0167,SAL00052,2023-02-02,PRD031,STR05,1,307.42,Changed Mind
RET0168,SAL04489,2023-11-07,PRD034,STR03,1,1022.51,Defective
RET0169,SAL05857,2025-01-08,PRD018,STR12,1,337.63,Changed Mind
RET0170,SAL03883,2023-03-20,PRD007,STR06,1,151.66,Defective
RET0171,SAL04286,2023-01-08,PRD012,STR09,1,926.49,Defective
RET0172,SAL02459,2022-08-29,PRD027,STR02,1,369.57,Wrong Item
RET0173,SAL02960,2022-02-14,PRD064,STR01,1,741.86,Not as Described
RET0174,SAL03189,2023-05-14,PRD060,STR05,1,50.71,Defective
RET0175,SAL04089,2024-12-07,PRD040,STR12,1,114.3,Not as Described
RET0176,SAL04703,2025-05-26,PRD048,STR12,1,92.37,Not as Described
RET0177,SAL05846,2023-12-13,PRD050,STR07,1,140.65,Wrong Item
RET0178,SAL01169,2022-11-09,PRD064,STR02,1,492.76,Changed Mind
RET0179,SAL05832,2023-01-29,PRD060,STR11,1,77.14,Damaged
RET0180,SAL00587,2024-03-24,PRD071,STR10,1,282.63,Changed Mind
RET0181,SAL01421,2023-03-23,PRD012,STR01,2,1399.37,Changed Mind
RET0182,SAL00530,2023-06-11,PRD067,STR08,1,523.62,Wrong Item
RET0183,SAL00316,2023-09-26,PRD042,STR05,1,186.45,Not as Described
RET0184,SAL05401,2025-07-24,PRD003,STR04,1,342.37,Defective
RET0185,SAL00032,2023-04-28,PRD051,STR12,1,236.31,Not as Described
RET0186,SAL04066,2022-07-04,PRD037,STR10,4,368.93,Not as Described
RET0187,SAL03860,2024-09-05,PRD038,STR08,2,1206.33,Defective
RET0188,SAL05096,2024-12-17,PRD022,STR09,1,232.7,Not as Described
RET0189,SAL02940,2025-04-07,PRD002,STR07,1,369.42,Changed Mind
RET0190,SAL03628,2022-10-21,PRD020,STR04,1,255.75,Not as Described
RET0191,SAL00941,2024-02-18,PRD027,STR05,1,89.9,Damaged
RET0192,SAL03678,2024-04-08,PRD029,STR02,1,515.49,Defective
RET0193,SAL02442,2024-09-08,PRD023,STR10,1,211.85,Not as Described
RET0194,SAL03582,2024-04-02,PRD033,STR11,2,354.84,Damaged
RET0195,SAL03460,2025-01-01,PRD011,STR12,1,231.35,Not as Described
RET0196,SAL00196,2024-10-04,PRD005,STR10,2,592.36,Damaged
RET0197,SAL05692,2023-02-07,PRD069,STR10,1,300.06,Changed Mind
RET0198,SAL04843,2022-11-18,PRD016,STR02,1,348.77,Not as Described
RET0199,SAL01277,2024-11-13,PRD001,STR05,1,2254.09,Not as Described
RET0200,SAL05883,2024-01-21,PRD054,STR09,2,495.36,Not as Described
RET0201,SAL04495,2022-03-08,PRD046,STR06,1,390.26,Defective
RET0202,SAL05805,2022-10-04,PRD053,STR05,1,90.6,Wrong Item
RET0203,SAL01385,2024-10-31,PRD045,STR12,3,252.25,Wrong Item
RET0204,SAL02737,2023-10-12,PRD023,STR10,1,526.87,Changed Mind
RET0205,SAL00476,2023-11-14,PRD063,STR08,1,642.78,Wrong Item
RET0206,SAL02928,2024-12-11,PRD054,STR04,2,476.21,Changed Mind
RET0207,SAL01942,2023-12-19,PRD072,STR09,1,311.37,Not as Described
RET0208,SAL04626,2024-05-27,PRD039,STR11,1,168.6,Damaged
RET0209,SAL01308,2022-04-24,PRD044,STR08,1,98.94,Wrong Item
RET0210,SAL00903,2023-01-21,PRD002,STR10,1,527.67,Wrong Item
RET0211,SAL00458,2025-06-28,PRD030,STR08,1,723.72,Changed Mind
RET0212,SAL04584,2024-12-16,PRD079,STR12,1,950.32,Not as Described
RET0213,SAL05177,2023-09-25,PRD016,STR02,1,340.93,Defective
RET0214,SAL00652,2025-05-05,PRD039,STR06,1,225.46,Wrong Item
RET0215,SAL01620,2024-11-13,PRD065,STR02,1,486.13,Damaged
RET0216,SAL00627,2022-04-23,PRD018,STR09,1,428.49,Not as Described
RET0217,SAL03788,2022-08-07,PRD040,STR08,1,76.73,Defective
RET0218,SAL03390,2025-08-01,PRD006,STR11,2,694.77,Defective
RET0219,SAL03960,2024-09-23,PRD047,STR12,1,376.47,Defective
RET0220,SAL05787,2022-05-01,PRD057,STR04,1,44.18,Defective
RET0221,SAL01897,2024-04-18,PRD057,STR04,1,30.51,Changed Mind
RET0222,SAL02814,2024-03-28,PRD022,STR08,1,297.09,Damaged
RET0223,SAL02103,2022-02-22,PRD068,STR03,1,281.91,Not as Described
RET0224,SAL04754,2025-08-16,PRD004,STR10,1,205.55,Damaged
RET0225,SAL02192,2024-12-24,PRD054,STR03,1,120.28,Wrong Item
RET0226,SAL02092,2024-12-19,PRD008,STR01,1,322.9,Not as Described
RET0227,SAL03587,2024-06-09,PRD069,STR01,1,189.32,Changed Mind
RET0228,SAL05584,2023-07-16,PRD021,STR05,1,505.26,Defective
RET0229,SAL03516,2024-08-02,PRD054,STR06,1,118.42,Wrong Item
RET0230,SAL02591,2024-06-19,PRD055,STR03,3,1703.51,Damaged
RET0231,SAL05473,2025-03-03,PRD032,STR02,1,259.63,Not as Described
RET0232,SAL03666,2024-12-25,PRD013,STR08,1,553.01,Defective
RET0233,SAL00097,2022-03-19,PRD075,STR12,4,1129.69,Defective
RET0234,SAL04224,2023-04-01,PRD050,STR05,1,405.36,Damaged
RET0235,SAL05464,2024-05-10,PRD007,STR07,1,555.93,Defective
RET0236,SAL05040,2024-12-19,PRD059,STR04,1,362.49,Defective
RET0237,SAL02715,2024-12-10,PRD065,STR08,1,619.46,Not as Described
RET0238,SAL01090,2022-07-18,PRD072,STR09,1,428.97,Defective
RET0239,SAL05400,2023-02-18,PRD011,STR03,3,1549.27,Not as Described
RET0240,SAL03563,2022-07-26,PRD031,STR09,1,600.2,Wrong Item
RET0241,SAL04126,2025-04-24,PRD003,STR07,1,254.27,Not as Described
RET0242,SAL02919,2023-03-24,PRD067,STR11,1,139.92,Defective
RET0243,SAL00736,2023-02-25,PRD010,STR10,1,212.68,Defective
RET0244,SAL04038,2023-03-01,PRD053,STR07,1,64.77,Damaged
RET0245,SAL05788,2024-10-31,PRD044,STR08,1,95.76,Changed Mind
RET0246,SAL00043,2024-06-01,PRD068,STR09,1,104.34,Changed Mind
RET0247,SAL02446,2024-02-04,PRD063,STR05,1,444.03,Wrong Item
RET0248,SAL05281,2022-11-08,PRD080,STR09,1,348.91,Changed Mind
RET0249,SAL02115,2025-03-15,PRD053,STR07,1,106.61,Changed Mind
RET0250,SAL00792,2024-08-29,PRD002,STR10,1,303.27,Damaged
RET0251,SAL02299,2023-12-08,PRD014,STR04,1,396.61,Damaged
RET0252,SAL00721,2024-09-07,PRD048,STR04,1,43.89,Changed Mind
RET0253,SAL05933,2023-04-13,PRD005,STR09,1,124.89,Damaged
RET0254,SAL03135,2023-09-26,PRD020,STR04,1,192.17,Changed Mind
RET0255,SAL01106,2024-09-24,PRD015,STR06,1,171.71,Not as Described
RET0256,SAL04399,2023-10-13,PRD027,STR12,1,206.77,Changed Mind
RET0257,SAL02009,2022-05-25,PRD069,STR05,1,548.43,Damaged
RET0258,SAL02204,2023-04-16,PRD070,STR09,1,265.32,Damaged
RET0259,SAL01782,2025-05-01,PRD070,STR02,1,537.6,Wrong Item
RET0260,SAL03099,2022-01-11,PRD024,STR07,1,941.89,Wrong Item
RET0261,SAL01026,2025-01-01,PRD069,STR07,1,451.99,Damaged
RET0262,SAL05936,2025-07-02,PRD045,STR07,1,67.49,Changed Mind
RET0263,SAL04069,2025-07-15,PRD036,STR02,1,653.69,Defective
RET0264,SAL04524,2022-07-27,PRD019,STR08,1,1589.5,Defective
RET0265,SAL03815,2025-07-03,PRD051,STR12,1,211.28,Damaged
RET0266,SAL01987,2025-01-01,PRD043,STR01,1,139.08,Changed Mind
RET0267,SAL03455,2022-03-04,PRD039,STR07,1,182.3,Wrong Item
RET0268,SAL02651,2023-11-08,PRD053,STR06,1,151.83,Defective
RET0269,SAL01099,2022-05-19,PRD003,STR10,1,364.35,Wrong Item
RET0270,SAL04457,2022-05-25,PRD015,STR12,1,609.31,Changed Mind
RET0271,SAL02485,2025-03-11,PRD006,STR08,1,277.47,Damaged
RET0272,SAL03968,2022-05-21,PRD069,STR10,1,301.12,Defective
RET0273,SAL04328,2023-01-09,PRD006,STR06,1,602.76,Changed Mind
RET0274,SAL03113,2022-11-20,PRD070,STR06,1,357.09,Damaged
RET0275,SAL02527,2024-12-05,PRD038,STR12,1,368.48,Wrong Item
RET0276,SAL04329,2024-06-29,PRD048,STR05,1,121.25,Damaged
RET0277,SAL00492,2022-04-21,PRD049,STR12,1,481.07,Wrong Item
RET0278,SAL02968,2024-01-09,PRD050,STR05,1,187.47,Defective
RET0279,SAL05284,2022-06-08,PRD062,STR02,1,392.74,Not as Described
RET0280,SAL03389,2022-06-15,PRD028,STR05,1,165.35,Defective
RET0281,SAL01497,2024-02-07,PRD011,STR01,1,785.88,Wrong Item
RET0282,SAL04583,2023-12-19,PRD021,STR07,1,444.47,Wrong Item
RET0283,SAL04032,2023-02-13,PRD049,STR03,1,688.23,Not as Described
RET0284,SAL01310,2024-03-24,PRD030,STR07,1,629.99,Damaged
RET0285,SAL00001,2022-07-27,PRD015,STR03,1,738.83,Defective
RET0286,SAL01812,2024-11-03,PRD069,STR04,1,282.85,Damaged
RET0287,SAL03917,2022-03-29,PRD069,STR07,1,194.0,Wrong Item
RET0288,SAL04820,2025-09-01,PRD077,STR12,1,869.91,Wrong Item
RET0289,SAL01901,2024-05-30,PRD027,STR11,1,286.08,Not as Described
RET0290,SAL03730,2022-07-11,PRD043,STR11,1,62.39,Wrong Item
RET0291,SAL00426,2023-07-15,PRD036,STR09,1,795.8,Damaged
RET0292,SAL00744,2025-02-28,PRD019,STR08,1,312.36,Damaged
RET0293,SAL05390,2023-04-21,PRD078,STR06,1,166.73,Changed Mind
RET0294,SAL02085,2022-03-14,PRD037,STR10,2,111.71,Changed Mind
RET0295,SAL00954,2022-07-27,PRD062,STR11,4,1007.13,Defective
RET0296,SAL01649,2022-04-19,PRD023,STR01,1,404.8,Damaged
RET0297,SAL03121,2023-01-24,PRD011,STR03,1,751.74,Damaged
RET0298,SAL00579,2024-12-04,PRD065,STR11,1,601.55,Not as Described
RET0299,SAL02706,2024-09-19,PRD017,STR07,1,60.61,Changed Mind
RET0300,SAL04680,2022-08-29,PRD080,STR08,1,204.14,Defective
RET0301,SAL03141,2022-04-18,PRD074,STR08,1,395.95,Damaged
RET0302,SAL02441,2024-03-05,PRD060,STR09,1,169.43,Changed Mind
RET0303,SAL02924,2022-08-16,PRD056,STR07,1,383.77,Damaged
RET0304,SAL02610,2023-09-25,PRD046,STR08,1,525.99,Wrong Item
RET0305,SAL02593,2022-05-19,PRD027,STR02,2,493.33,Changed Mind
RET0306,SAL04787,2024-03-31,PRD045,STR03,1,38.03,Not as Described
RET0307,SAL04124,2022-05-10,PRD073,STR11,1,325.03,Defective
RET0308,SAL05890,2025-06-14,PRD025,STR10,1,174.56,Changed Mind
RET0309,SAL04694,2023-12-18,PRD008,STR12,1,371.48,Not as Described
RET0310,SAL03832,2022-04-30,PRD059,STR09,1,338.89,Changed Mind
RET0311,SAL03028,2024-01-02,PRD045,STR03,1,50.61,Damaged
RET0312,SAL01765,2024-11-28,PRD005,STR01,1,156.02,Defective
RET0313,SAL02216,2023-07-19,PRD068,STR02,1,307.52,Defective
RET0314,SAL03222,2024-12-10,PRD018,STR03,1,665.61,Changed Mind
RET0315,SAL03519,2025-06-13,PRD007,STR12,1,148.59,Wrong Item
RET0316,SAL04097,2025-01-05,PRD065,STR03,1,366.41,Not as Described
RET0317,SAL00319,2025-07-09,PRD059,STR06,1,405.99,Defective
RET0318,SAL02769,2022-02-18,PRD041,STR04,1,684.6,Defective
RET0319,SAL04692,2023-01-19,PRD073,STR10,1,429.15,Damaged
RET0320,SAL05233,2025-06-26,PRD029,STR09,1,288.37,Damaged
RET0321,SAL01326,2025-04-20,PRD051,STR10,1,381.82,Changed Mind
RET0322,SAL00286,2023-09-27,PRD055,STR03,1,1038.0,Damaged
RET0323,SAL04656,2023-11-17,PRD031,STR08,1,520.04,Defective
RET0324,SAL02598,2024-09-30,PRD030,STR02,1,697.23,Defective
RET0325,SAL00810,2022-11-23,PRD039,STR08,1,195.96,Damaged
RET0326,SAL04990,2025-05-23,PRD033,STR07,1,73.26,Not as Described
RET0327,SAL02305,2024-05-10,PRD044,STR01,1,90.31,Not as Described
RET0328,SAL00527,2025-06-28,PRD068,STR09,1,111.11,Not as Described
RET0329,SAL01093,2023-05-05,PRD027,STR08,3,631.29,Wrong Item
RET0330,SAL05844,2023-03-30,PRD067,STR03,1,217.28,Wrong Item
RET0331,SAL04401,2025-02-04,PRD044,STR11,1,117.88,Defective
RET0332,SAL00055,2022-09-16,PRD035,STR07,1,246.54,Not as Described
RET0333,SAL03630,2024-02-20,PRD049,STR04,1,643.12,Wrong Item
RET0334,SAL04470,2024-08-22,PRD007,STR03,1,400.23,Wrong Item
RET0335,SAL03371,2025-06-13,PRD068,STR06,1,108.08,Not as Described
RET0336,SAL03499,2024-01-03,PRD009,STR06,1,191.78,Changed Mind
RET0337,SAL04051,2022-04-17,PRD024,STR06,1,455.75,Wrong Item
RET0338,SAL02189,2022-06-29,PRD017,STR04,2,193.09,Not as Described
RET0339,SAL02665,2025-07-18,PRD056,STR08,1,340.89,Defective
RET0340,SAL03650,2024-01-14,PRD032,STR09,1,291.88,Wrong Item
RET0341,SAL01971,2023-12-04,PRD038,STR12,1,459.09,Wrong Item
RET0342,SAL04212,2025-05-01,PRD010,STR10,1,404.61,Not as Described
RET0343,SAL00406,2024-07-27,PRD024,STR10,1,444.25,Changed Mind
RET0344,SAL03750,2024-02-11,PRD004,STR09,1,251.09,Changed Mind
RET0345,SAL05637,2022-04-14,PRD061,STR11,1,129.75,Wrong Item
RET0346,SAL05468,2022-01-30,PRD048,STR07,3,136.08,Not as Described
RET0347,SAL04400,2023-03-09,PRD054,STR10,1,98.09,Defective
RET0348,SAL04549,2022-08-05,PRD027,STR07,1,119.07,Defective
RET0349,SAL00564,2024-01-17,PRD013,STR06,1,671.27,Damaged
RET0350,SAL03845,2025-05-01,PRD036,STR09,1,412.72,Defective
RET0351,SAL04320,2022-02-05,PRD079,STR02,1,1329.8,Not as Described
RET0352,SAL03436,2025-04-24,PRD045,STR11,1,38.98,Defective
RET0353,SAL02247,2023-05-27,PRD019,STR09,1,393.86,Defective
RET0354,SAL01952,2024-12-05,PRD013,STR12,1,273.41,Not as Described
RET0355,SAL01741,2023-06-26,PRD014,STR10,1,391.39,Defective
RET0356,SAL04181,2025-05-09,PRD033,STR12,1,60.38,Changed Mind
RET0357,SAL00034,2025-05-16,PRD014,STR09,1,208.29,Damaged
RET0358,SAL04765,2022-11-17,PRD015,STR11,1,806.37,Defective
