SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount
S0047,2024-10-22,C037,P203,3,33.07,0.1,89.29
S0048,2024-12-15,C073,P103,4,67.34,0.0,269.36
S0049,2024-01-09,C006,P101,1,69.16,0.05,65.7
S0050,2024-01-01,C021,P102,4,36.5,0.05,138.7
S0051,2024-03-22,C026,P301,2,33.93,0.0,67.86
S0052,2024-02-12,C012,P202,3,83.85,0.0,251.55
S0053,2024-11-16,C022,P203,1,33.07,0.05,31.42
S0054,2024-12-26,C030,P202,4,83.85,0.0,335.4
S0055,2024-02-09,C001,P102,2,36.5,0.05,69.35
S0056,2024-12-14,C076,P103,2,67.34,0.1,121.21
S0057,2024-03-02,C002,P302,1,74.62,0.0,74.62
S0058,2024-04-27,C017,P301,4,33.93,0.0,135.72
S0059,2024-06-09,C012,P301,1,33.93,0.0,33.93
S0060,2024-03-09,C039,P203,2,33.07,0.05,62.83
S0061,2024-10-15,C019,P402,1,37.5,0.1,33.75
S0062,2024-06-28,C079,P101,2,69.16,0.05,131.4
S0063,2024-11-11,C028,P403,2,21.05,0.05,39.99
S0064,2024-02-21,C057,P402,2,37.5,0.0,75.0
S0065,2024-06-28,C016,P103,5,67.34,0.05,319.87
S0066,2024-05-21,C041,P301,2,33.93,0.0,67.86
S0067,2024-11-03,C011,P402,2,37.5,0.1,67.5
S0068,2024-12-03,C078,P401,3,33.24,0.0,99.72
S0069,2024-09-17,C027,P202,5,83.85,0.1,377.32
S0070,2024-05-02,C051,P201,3,85.48,0.0,256.44
S0071,2024-09-12,C050,P302,1,74.62,0.0,74.62
S0072,2024-01-07,C077,P402,1,37.5,0.1,33.75
S0073,2024-10-18,C041,P203,2,33.07,0.05,62.83
S0074,2024-08-29,C047,P301,5,33.93,0.0,169.65
S0075,2024-01-08,C003,P102,5,36.5,0.0,182.5
S0076,2024-07-22,C028,P202,1,83.85,0.0,83.85
S0077,2024-08-04,C037,P303,5,86.95,0.05,413.01
S0078,2024-10-02,C052,P403,1,21.05,0.1,18.95
S0079,2024-06-07,C020,P401,3,33.24,0.0,99.72
S0080,2024-10-01,C066,P102,2,36.5,0.0,73.0
S0081,2024-06-07,C051,P203,5,33.07,0.0,165.35
S0082,2024-05-05,C056,P403,2,21.05,0.0,42.1
S0083,2024-11-09,C056,P102,1,36.5,0.05,34.67
S0084,2024-03-02,C008,P401,3,33.24,0.0,99.72
S0085,2024-09-11,C018,P101,1,69.16,0.0,69.16
S0086,2024-03-26,C067,P203,5,33.07,0.0,165.35
S0087,2024-01-16,C017,P203,3,33.07,0.0,99.21
S0088,2024-02-02,C055,P203,3,33.07,0.1,89.29
S0089,2024-08-21,C074,P202,1,83.85,0.05,79.66
S0090,2024-10-17,C047,P303,1,86.95,0.05,82.6
S0091,2024-02-22,C048,P103,2,67.34,0.0,134.68
S0092,2024-01-02,C015,P401,2,33.24,0.1,59.83
S0093,2024-08-29,C002,P101,2,69.16,0.0,138.32
S0094,2024-01-19,C050,P203,2,33.07,0.0,66.14
S0095,2024-05-07,C054,P303,2,86.95,0.0,173.9
S0096,2024-10-19,C041,P301,3,33.93,0.0,101.79
S0097,2024-04-01,C016,P203,5,33.07,0.0,165.35
S0098,2024-02-05,C067,P201,1,85.48,0.05,81.21
S0099,2024-02-14,C037,P302,3,74.62,0.0,223.86
S0100,2024-04-12,C059,P303,1,86.95,0.0,86.95
S0101,2024-05-04,C073,P202,3,83.85,0.1,226.39
S0102,2024-04-10,C048,P302,5,74.62,0.05,354.44
S0103,2024-01-04,C070,P403,2,21.05,0.0,42.1
S0104,2024-06-26,C004,P301,2,33.93,0.1,61.07
S0105,2024-12-02,C002,P402,3,37.5,0.0,112.5
S0106,2024-09-28,C040,P301,1,33.93,0.0,33.93
S0107,2024-03-13,C054,P201,4,85.48,0.0,341.92
S0108,2024-04-28,C036,P403,1,21.05,0.0,21.05
S0109,2024-02-13,C053,P303,3,86.95,0.05,247.81
S0110,2024-11-22,C013,P401,5,33.24,0.0,166.2
S0111,2024-02-01,C010,P301,5,33.93,0.1,152.69
S0112,2024-05-13,C017,P301,2,33.93,0.0,67.86
S0113,2024-08-19,C051,P203,3,33.07,0.0,99.21
S0114,2024-03-10,C030,P202,1,83.85,0.0,83.85
S0115,2024-03-25,C014,P401,2,33.24,0.0,66.48
S0116,2024-03-02,C060,P302,3,74.62,0.05,212.67
S0117,2024-06-06,C046,P303,2,86.95,0.05,165.2
S0118,2024-03-21,C034,P302,1,74.62,0.0,74.62
S0119,2024-04-20,C039,P402,5,37.5,0.0,187.5
S0120,2024-07-01,C019,P203,1,33.07,0.0,33.07
S0121,2024-05-13,C066,P301,1,33.93,0.0,33.93
S0122,2024-10-11,C004,P103,4,67.34,0.05,255.89
S0123,2024-08-24,C071,P403,2,21.05,0.0,42.1
S0124,2024-02-01,C018,P102,1,36.5,0.0,36.5
S0125,2024-07-09,C017,P201,2,85.48,0.05,162.41
S0126,2024-05-12,C011,P402,5,37.5,0.1,168.75
S0127,2024-11-26,C003,P102,1,36.5,0.0,36.5
S0128,2024-03-03,C017,P302,1,74.62,0.0,74.62
S0129,2024-10-20,C060,P101,1,69.16,0.0,69.16
S0130,2024-07-14,C051,P301,4,33.93,0.0,135.72
S0131,2024-04-19,C055,P402,2,37.5,0.0,75.0
S0132,2024-03-17,C036,P103,3,67.34,0.05,191.92
S0133,2024-05-05,C079,P101,5,69.16,0.1,311.22
S0134,2024-10-08,C038,P402,4,37.5,0.05,142.5
S0135,2024-07-15,C008,P302,1,74.62,0.0,74.62
S0136,2024-05-07,C054,P103,2,67.34,0.1,121.21
S0137,2024-07-02,C070,P402,1,37.5,0.05,35.62
S0138,2024-10-16,C070,P302,4,74.62,0.0,298.48
S0139,2024-04-02,C042,P303,4,86.95,0.0,347.8
S0140,2024-01-16,C041,P101,5,69.16,0.0,345.8
S0141,2024-07-02,C008,P202,4,83.85,0.1,301.86
S0142,2024-05-06,C030,P401,2,33.24,0.0,66.48
S0143,2024-01-29,C031,P402,3,37.5,0.1,101.25
S0144,2024-03-29,C074,P201,4,85.48,0.0,341.92
S0145,2024-12-23,C031,P103,5,67.34,0.0,336.7
S0146,2024-10-17,C076,P203,1,33.07,0.0,33.07
S0147,2024-09-09,C019,P401,5,33.24,0.0,166.2
S0148,2024-01-20,C040,P303,2,86.95,0.05,165.2
S0149,2024-04-22,C008,P102,2,36.5,0.1,65.7
S0150,2024-06-18,C068,P101,4,69.16,0.0,276.64
S0151,2024-03-31,C026,P401,2,33.24,0.0,66.48
S0152,2024-10-27,C008,P203,1,33.07,0.0,33.07
S0153,2024-07-05,C019,P403,1,21.05,0.1,18.95
S0154,2024-02-21,C048,P102,4,36.5,0.1,131.4
S0155,2024-03-21,C039,P203,3,33.07,0.0,99.21
S0156,2024-03-30,C056,P403,4,21.05,0.0,84.2
S0157,2024-04-24,C072,P403,5,21.05,0.0,105.25
S0158,2024-06-06,C076,P402,2,37.5,0.05,71.25
S0159,2024-01-01,C038,P403,2,21.05,0.0,42.1
S0160,2024-01-17,C074,P403,4,21.05,0.1,75.78
S0161,2024-04-23,C078,P103,3,67.34,0.1,181.82
S0162,2024-03-13,C073,P402,1,37.5,0.05,35.62
S0163,2024-06-12,C010,P203,2,33.07,0.0,66.14
S0164,2024-01-06,C012,P103,3,67.34,0.05,191.92
S0165,2024-06-28,C027,P202,2,83.85,0.0,167.7
S0166,2024-07-16,C014,P202,1,83.85,0.0,83.85
S0167,2024-09-09,C054,P302,2,74.62,0.05,141.78
S0168,2024-02-21,C045,P301,5,33.93,0.05,161.17
S0169,2024-08-19,C074,P302,2,74.62,0.0,149.24
S0170,2024-06-12,C005,P102,3,36.5,0.0,109.5
S0171,2024-03-28,C014,P202,1,83.85,0.0,83.85
S0172,2024-02-17,C021,P301,1,33.93,0.1,30.54
S0173,2024-12-26,C077,P203,5,33.07,0.05,157.08
S0174,2024-08-10,C056,P101,2,69.16,0.1,124.49
S0175,2024-04-15,C007,P103,1,67.34,0.0,67.34
S0176,2024-05-15,C053,P201,5,85.48,0.1,384.66
S0177,2024-02-19,C037,P402,3,37.5,0.0,112.5
S0178,2024-09-08,C051,P101,5,69.16,0.1,311.22
S0179,2024-08-06,C007,P103,3,67.34,0.0,202.02
S0180,2024-04-12,C038,P102,5,36.5,0.05,173.38
S0181,2024-11-22,C004,P102,2,36.5,0.0,73.0
S0182,2024-06-06,C011,P202,4,83.85,0.0,335.4
S0183,2024-02-16,C061,P301,4,33.93,0.0,135.72
S0184,2024-07-08,C070,P402,4,37.5,0.0,150.0
S0185,2024-01-23,C048,P301,2,33.93,0.05,64.47
S0186,2024-04-25,C057,P202,4,83.85,0.0,335.4
S0187,2024-12-22,C073,P202,1,83.85,0.0,83.85
S0188,2024-10-04,C013,P402,1,37.5,0.0,37.5
S0189,2024-02-01,C076,P301,2,33.93,0.1,61.07
S0190,2024-12-17,C067,P301,4,33.93,0.1,122.15
S0191,2024-06-02,C074,P302,2,74.62,0.05,141.78
S0192,2024-10-19,C051,P102,1,36.5,0.1,32.85
S0193,2024-03-02,C074,P303,5,86.95,0.0,434.75
S0194,2024-04-08,C023,P302,2,74.62,0.0,149.24
S0195,2024-12-15,C006,P103,4,67.34,0.0,269.36
S0196,2024-05-12,C026,P301,2,33.93,0.1,61.07
S0197,2024-10-11,C009,P203,1,33.07,0.05,31.42
S0198,2024-09-23,C071,P301,3,33.93,0.0,101.79
S0199,2024-09-24,C002,P302,5,74.62,0.1,335.79
S0200,2024-03-16,C015,P301,4,33.93,0.0,135.72
S0201,2024-02-24,C076,P401,5,33.24,0.0,166.2
S0202,2024-06-25,C013,P401,3,33.24,0.1,89.75
S0203,2024-10-19,C034,P301,4,33.93,0.05,128.93
S0204,2024-05-21,C061,P401,1,33.24,0.0,33.24
S0205,2024-12-14,C019,P301,5,33.93,0.1,152.69
S0206,2024-06-18,C052,P403,1,21.05,0.05,20.0
S0207,2024-05-17,C031,P403,1,21.05,0.05,20.0
S0208,2024-06-08,C003,P203,3,33.07,0.0,99.21
S0209,2024-03-09,C063,P202,1,83.85,0.0,83.85
S0210,2024-08-01,C057,P202,3,83.85,0.0,251.55
S0211,2024-04-18,C012,P401,2,33.24,0.05,63.16
S0212,2024-01-29,C063,P301,5,33.93,0.0,169.65
S0213,2024-12-29,C021,P303,1,86.95,0.0,86.95
S0214,2024-10-18,C052,P303,2,86.95,0.1,156.51
S0215,2024-01-30,C023,P101,2,69.16,0.0,138.32
S0216,2024-07-03,C005,P201,4,85.48,0.0,341.92
S0217,2024-08-25,C026,P403,3,21.05,0.0,63.15
S0218,2024-05-03,C051,P303,1,86.95,0.0,86.95
S0219,2024-03-31,C063,P203,5,33.07,0.05,157.08
S0220,2024-06-25,C076,P302,5,74.62,0.0,373.1
S0221,2024-01-15,C034,P103,1,67.34,0.0,67.34
S0222,2024-04-19,C007,P301,2,33.93,0.1,61.07
S0223,2024-11-29,C029,P201,2,85.48,0.0,170.96
S0224,2024-08-30,C066,P301,1,33.93,0.0,33.93
S0225,2024-04-24,C023,P103,5,67.34,0.0,336.7
S0226,2024-08-04,C078,P202,3,83.85,0.0,251.55
S0227,2024-04-21,C045,P301,4,33.93,0.0,135.72
S0228,2024-07-22,C039,P302,5,74.62,0.1,335.79
S0229,2024-12-05,C014,P401,1,33.24,0.1,29.92
S0230,2024-05-24,C072,P203,5,33.07,0.1,148.81
S0231,2024-06-21,C014,P202,4,83.85,0.0,335.4
S0232,2024-12-01,C042,P202,3,83.85,0.0,251.55
S0233,2024-09-21,C039,P403,2,21.05,0.0,42.1
S0234,2024-12-04,C008,P201,5,85.48,0.05,406.03
S0235,2024-05-31,C018,P203,1,33.07,0.05,31.42
S0236,2024-01-19,C054,P202,4,83.85,0.05,318.63
S0237,2024-04-23,C074,P401,2,33.24,0.0,66.48
S0238,2024-09-16,C069,P402,4,37.5,0.0,150.0
S0239,2024-05-30,C022,P202,5,83.85,0.0,419.25
S0240,2024-10-13,C061,P102,2,36.5,0.0,73.0
S0241,2024-06-30,C043,P103,1,67.34,0.0,67.34
S0242,2024-07-09,C040,P201,4,85.48,0.0,341.92
S0243,2024-03-01,C075,P202,3,83.85,0.05,238.97
S0244,2024-11-13,C007,P302,5,74.62,0.1,335.79
S0245,2024-03-02,C061,P102,2,36.5,0.1,65.7
S0246,2024-07-30,C049,P402,5,37.5,0.0,187.5
S0247,2024-06-24,C020,P101,2,69.16,0.0,138.32
S0248,2024-06-10,C073,P301,4,33.93,0.0,135.72
S0249,2024-06-19,C024,P403,1,21.05,0.05,20.0
S0250,2024-01-03,C023,P402,3,37.5,0.0,112.5
S0251,2024-10-22,C036,P302,2,74.62,0.0,149.24
S0252,2024-11-10,C063,P103,1,67.34,0.0,67.34
S0253,2024-09-01,C055,P301,4,33.93,0.05,128.93
S0254,2024-04-12,C001,P301,1,33.93,0.1,30.54
S0255,2024-09-28,C048,P403,1,21.05,0.0,21.05
S0256,2024-04-25,C003,P201,1,85.48,0.0,85.48
S0257,2024-02-22,C045,P403,3,21.05,0.0,63.15
S0258,2024-03-26,C065,P301,5,33.93,0.0,169.65
S0259,2024-08-21,C006,P102,3,36.5,0.0,109.5
S0260,2024-06-21,C067,P403,5,21.05,0.1,94.73
S0261,2024-07-02,C018,P301,3,33.93,0.05,96.7
S0262,2024-04-26,C022,P201,4,85.48,0.0,341.92
S0263,2024-10-28,C017,P201,2,85.48,0.0,170.96
S0264,2024-12-30,C022,P303,1,86.95,0.0,86.95
S0265,2024-09-30,C005,P402,4,37.5,0.0,150.0
S0266,2024-12-04,C007,P401,5,33.24,0.0,166.2
S0267,2024-08-01,C003,P102,1,36.5,0.0,36.5
S0268,2024-05-09,C049,P302,1,74.62,0.1,67.16
S0269,2024-06-03,C020,P302,2,74.62,0.0,149.24
S0270,2024-11-14,C013,P301,5,33.93,0.0,169.65
S0271,2024-09-18,C018,P401,4,33.24,0.0,132.96
S0272,2024-02-28,C080,P403,1,21.05,0.0,21.05
S0273,2024-04-12,C064,P102,2,36.5,0.1,65.7
S0274,2024-12-26,C067,P202,2,83.85,0.0,167.7
S0275,2024-10-07,C038,P301,2,33.93,0.0,67.86
S0276,2024-04-30,C027,P302,4,74.62,0.0,298.48
S0277,2024-10-20,C002,P101,1,69.16,0.0,69.16
S0278,2024-09-18,C064,P402,2,37.5,0.0,75.0
S0279,2024-08-21,C013,P102,3,36.5,0.0,109.5
S0280,2024-02-21,C034,P202,4,83.85,0.0,335.4
S0281,2024-12-12,C006,P103,3,67.34,0.0,202.02
S0282,2024-01-24,C055,P203,1,33.07,0.0,33.07
S0283,2024-07-02,C018,P101,2,69.16,0.0,138.32
S0284,2024-07-09,C080,P302,3,74.62,0.0,223.86
S0285,2024-07-23,C024,P203,1,33.07,0.05,31.42
S0286,2024-08-03,C035,P302,4,74.62,0.05,283.56
S0287,2024-12-22,C022,P402,1,37.5,0.0,37.5
S0288,2024-08-01,C008,P403,2,21.05,0.0,42.1
S0289,2024-04-02,C062,P401,5,33.24,0.05,157.89
S0290,2024-01-15,C049,P401,3,33.24,0.1,89.75
S0291,2024-02-27,C017,P402,4,37.5,0.05,142.5
S0292,2024-05-13,C057,P301,1,33.93,0.0,33.93
S0293,2024-10-22,C041,P402,1,37.5,0.1,33.75
S0294,2024-09-22,C073,P403,2,21.05,0.0,42.1
S0295,2024-12-04,C080,P303,1,86.95,0.05,82.6
S0296,2024-12-05,C032,P403,4,21.05,0.0,84.2
S0297,2024-11-09,C050,P402,2,37.5,0.1,67.5
S0298,2024-08-28,C002,P101,2,69.16,0.1,124.49
S0299,2024-06-13,C022,P302,1,74.62,0.05,70.89
S0300,2024-09-16,C043,P201,3,85.48,0.0,256.44
S0301,2024-04-30,C071,P201,4,85.48,0.05,324.82
S0302,2024-08-17,C059,P102,4,36.5,0.1,131.4
S0303,2024-03-01,C064,P102,4,36.5,0.0,146.0
S0304,2024-07-30,C003,P302,1,74.62,0.05,70.89
S0305,2024-02-16,C072,P101,5,69.16,0.0,345.8
S0306,2024-10-14,C080,P401,3,33.24,0.1,89.75
S0307,2024-01-28,C059,P201,3,85.48,0.0,256.44
S0308,2024-11-13,C059,P201,3,85.48,0.1,230.8
S0309,2024-02-28,C061,P401,3,33.24,0.05,94.73
S0310,2024-06-30,C029,P102,1,36.5,0.0,36.5
S0311,2024-07-10,C038,P402,5,37.5,0.1,168.75
S0312,2024-09-09,C014,P403,1,21.05,0.0,21.05
S0313,2024-11-08,C053,P103,1,67.34,0.0,67.34
S0314,2024-04-20,C025,P201,1,85.48,0.05,81.21
S0315,2024-07-31,C025,P302,3,74.62,0.0,223.86
S0316,2024-08-22,C076,P101,1,69.16,0.05,65.7
S0317,2024-09-12,C076,P402,5,37.5,0.0,187.5
S0318,2024-08-09,C068,P101,1,69.16,0.1,62.24
S0319,2024-12-20,C062,P401,5,33.24,0.0,166.2
S0320,2024-07-17,C023,P401,2,33.24,0.0,66.48
S0321,2024-09-15,C077,P402,5,37.5,0.0,187.5
S0322,2024-05-20,C054,P301,5,33.93,0.0,169.65
S0323,2024-03-09,C044,P301,3,33.93,0.05,96.7
S0324,2024-06-02,C053,P103,5,67.34,0.1,303.03
S0325,2024-11-19,C071,P403,3,21.05,0.1,56.84
S0326,2024-05-28,C026,P201,2,85.48,0.1,153.86
S0327,2024-09-14,C045,P402,2,37.5,0.0,75.0
S0328,2024-10-14,C042,P303,1,86.95,0.0,86.95
S0329,2024-12-11,C075,P302,5,74.62,0.05,354.44
S0330,2024-01-07,C069,P403,3,21.05,0.05,59.99
S0331,2024-03-15,C014,P303,1,86.95,0.05,82.6
S0332,2024-03-23,C008,P101,2,69.16,0.0,138.32
S0333,2024-12-19,C033,P202,2,83.85,0.0,167.7
S0334,2024-07-02,C027,P202,5,83.85,0.0,419.25
S0335,2024-04-24,C014,P302,5,74.62,0.1,335.79
S0336,2024-09-18,C072,P403,4,21.05,0.0,84.2
S0337,2024-07-17,C037,P403,1,21.05,0.05,20.0
S0338,2024-01-07,C041,P301,5,33.93,0.0,169.65
S0339,2024-08-14,C033,P403,2,21.05,0.1,37.89
S0340,2024-11-04,C048,P201,5,85.48,0.1,384.66
S0341,2024-03-31,C025,P201,3,85.48,0.05,243.62
S0342,2024-09-20,C010,P402,2,37.5,0.0,75.0
S0343,2024-05-22,C049,P102,1,36.5,0.05,34.67
S0344,2024-10-26,C034,P303,2,86.95,0.0,173.9
S0345,2024-12-29,C001,P202,3,83.85,0.05,238.97
S0346,2024-11-01,C006,P103,2,67.34,0.0,134.68
S0347,2024-10-20,C079,P101,3,69.16,0.05,197.11
S0348,2024-09-26,C046,P303,1,86.95,0.0,86.95
S0349,2024-09-15,C024,P201,5,85.48,0.0,427.4
S0350,2024-07-25,C054,P103,5,67.34,0.1,303.03
S0351,2024-12-05,C045,P102,2,36.5,0.0,73.0
S0352,2024-04-21,C043,P203,3,33.07,0.0,99.21
S0353,2024-11-28,C068,P401,4,33.24,0.1,119.66
S0354,2024-05-03,C015,P101,3,69.16,0.05,197.11
S0355,2024-01-21,C079,P402,5,37.5,0.0,187.5
S0356,2024-07-16,C042,P402,4,37.5,0.0,150.0
S0357,2024-09-21,C070,P202,3,83.85,0.0,251.55
S0358,2024-09-06,C066,P203,5,33.07,0.05,157.08
S0359,2024-09-20,C038,P101,2,69.16,0.0,138.32
S0360,2024-09-30,C013,P102,2,36.5,0.1,65.7
S0361,2024-12-16,C009,P101,2,69.16,0.0,138.32
S0362,2024-12-25,C014,P301,2,33.93,0.1,61.07
S0363,2024-01-13,C056,P403,1,21.05,0.0,21.05
S0364,2024-02-07,C043,P302,1,74.62,0.0,74.62
S0365,2024-02-06,C023,P101,3,69.16,0.1,186.73
S0366,2024-07-17,C030,P401,3,33.24,0.05,94.73
S0367,2024-01-09,C052,P302,4,74.62,0.0,298.48
S0368,2024-11-24,C016,P301,5,33.93,0.0,169.65
S0369,2024-01-24,C080,P403,1,21.05,0.1,18.95
S0370,2024-02-24,C010,P403,3,21.05,0.1,56.84
S0371,2024-05-24,C039,P202,5,83.85,0.0,419.25
S0372,2024-08-30,C049,P302,4,74.62,0.0,298.48
S0373,2024-07-19,C069,P103,2,67.34,0.0,134.68
S0374,2024-12-12,C038,P303,2,86.95,0.0,173.9
S0375,2024-10-11,C048,P403,1,21.05,0.1,18.95
S0376,2024-10-20,C016,P103,1,67.34,0.0,67.34
S0377,2024-02-13,C051,P401,5,33.24,0.1,149.58
S0378,2024-07-30,C027,P202,3,83.85,0.0,251.55
S0379,2024-04-04,C066,P402,2,37.5,0.0,75.0
S0380,2024-02-28,C079,P201,3,85.48,0.0,256.44
S0381,2024-08-24,C073,P103,1,67.34,0.1,60.61
S0382,2024-12-09,C071,P402,1,37.5,0.0,37.5
S0383,2024-10-24,C033,P102,1,36.5,0.0,36.5
S0384,2024-12-09,C043,P302,3,74.62,0.0,223.86
S0385,2024-11-13,C031,P402,1,37.5,0.0,37.5
S0386,2024-08-18,C025,P102,3,36.5,0.05,104.02
S0387,2024-03-19,C079,P203,3,33.07,0.1,89.29
S0388,2024-08-07,C073,P401,3,33.24,0.0,99.72
S0389,2024-04-23,C001,P103,3,67.34,0.0,202.02
S0390,2024-03-09,C056,P403,3,21.05,0.0,63.15
S0391,2024-08-16,C043,P402,4,37.5,0.05,142.5
S0392,2024-02-25,C040,P203,4,33.07,0.1,119.05
S0393,2024-03-12,C078,P103,1,67.34,0.0,67.34
S0394,2024-02-08,C026,P303,3,86.95,0.0,260.85
S0395,2024-10-23,C065,P101,1,69.16,0.1,62.24
S0396,2024-10-09,C076,P301,2,33.93,0.0,67.86
S0397,2024-11-30,C070,P202,5,83.85,0.05,398.29
S0398,2024-10-28,C047,P103,4,67.34,0.0,269.36
S0399,2024-09-13,C038,P403,2,21.05,0.05,39.99
S0400,2024-09-14,C012,P303,4,86.95,0.0,347.8
S0401,2024-09-20,C031,P101,5,69.16,0.0,345.8
S0402,2024-10-16,C058,P103,2,67.34,0.0,134.68
S0403,2024-01-21,C019,P401,4,33.24,0.0,132.96
S0404,2024-05-15,C063,P201,2,85.48,0.0,170.96
S0405,2024-09-22,C030,P203,1,33.07,0.0,33.07
S0406,2024-01-24,C050,P203,4,33.07,0.05,125.67
S0407,2024-11-20,C042,P101,1,69.16,0.1,62.24
S0408,2024-10-18,C034,P202,5,83.85,0.1,377.32
S0409,2024-10-27,C049,P103,4,67.34,0.0,269.36
S0410,2024-07-11,C010,P402,5,37.5,0.0,187.5
S0411,2024-06-25,C067,P201,4,85.48,0.0,341.92
S0412,2024-09-13,C062,P302,5,74.62,0.0,373.1
S0413,2024-02-09,C057,P103,2,67.34,0.0,134.68
S0414,2024-04-05,C036,P303,2,86.95,0.0,173.9
S0415,2024-12-04,C047,P103,5,67.34,0.0,336.7
S0416,2024-09-03,C054,P201,3,85.48,0.0,256.44
S0417,2024-10-29,C062,P402,4,37.5,0.0,150.0
S0418,2024-01-23,C053,P103,1,67.34,0.0,67.34
S0419,2024-03-09,C074,P103,5,67.34,0.0,336.7
S0420,2024-03-16,C066,P402,1,37.5,0.1,33.75
S0421,2024-09-21,C022,P101,3,69.16,0.0,207.48
S0422,2024-12-04,C077,P301,5,33.93,0.0,169.65
S0423,2024-11-06,C011,P202,2,83.85,0.05,159.31
S0424,2024-07-29,C062,P302,2,74.62,0.0,149.24
S0425,2024-11-15,C019,P401,5,33.24,0.0,166.2
S0426,2024-12-17,C066,P402,3,37.5,0.0,112.5
S0427,2024-02-05,C059,P203,5,33.07,0.1,148.81
S0428,2024-02-25,C049,P201,4,85.48,0.0,341.92
S0429,2024-12-16,C026,P101,5,69.16,0.1,311.22
S0430,2024-03-31,C020,P301,5,33.93,0.0,169.65
S0431,2024-09-29,C079,P302,5,74.62,0.0,373.1
S0432,2024-12-03,C016,P303,1,86.95,0.05,82.6
S0433,2024-12-13,C078,P103,5,67.34,0.0,336.7
S0434,2024-07-08,C056,P402,5,37.5,0.05,178.12
S0435,2024-09-03,C068,P101,4,69.16,0.0,276.64
S0436,2024-02-20,C045,P301,5,33.93,0.1,152.69
S0437,2024-04-29,C018,P301,3,33.93,0.05,96.7
S0438,2024-07-28,C037,P102,5,36.5,0.1,164.25
S0439,2024-10-22,C025,P202,1,83.85,0.0,83.85
S0440,2024-07-11,C016,P303,5,86.95,0.0,434.75
S0441,2024-07-04,C027,P402,3,37.5,0.05,106.88
S0442,2024-05-09,C020,P102,4,36.5,0.1,131.4
S0443,2024-07-06,C069,P202,4,83.85,0.1,301.86
S0444,2024-07-30,C036,P401,4,33.24,0.0,132.96
S0445,2024-07-08,C072,P303,4,86.95,0.0,347.8
S0446,2024-06-06,C072,P303,4,86.95,0.0,347.8
S0447,2024-12-03,C045,P401,4,33.24,0.0,132.96
S0448,2024-02-21,C030,P102,4,36.5,0.0,146.0
