SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,SalesAmount,CostAmount,Profit,Channel
SAL00040,2024-08-15,ST04,CUS0265,PRD047,1,316.0,214.53,101.47,Marketplace
SAL00041,2024-07-02,ST04,CUS0222,PRD075,2,1013.42,512.9,500.52,Mobile App
SAL00042,2023-04-02,ST05,CUS0240,PRD051,1,131.88,72.37,59.51,Mobile App
SAL00043,2024-08-15,ST12,CUS0222,PRD051,1,138.82,72.37,66.45,Online
SAL00044,2023-11-26,ST08,CUS0070,PRD028,2,426.66,281.2,145.46,Marketplace
SAL00045,2022-08-15,ST06,CUS0058,PRD034,1,140.86,103.0,37.86,Online
SAL00046,2024-05-16,ST10,CUS0363,PRD007,2,769.74,435.5,334.24,Retail Store
SAL00047,2024-03-13,ST01,CUS0046,PRD007,2,769.74,435.5,334.24,Marketplace
SAL00048,2022-10-11,ST08,CUS0023,PRD056,1,371.75,269.62,102.13,Retail Store
SAL00049,2023-01-30,ST02,CUS0168,PRD077,4,1304.54,730.92,573.62,Mobile App
SAL00050,2025-01-21,ST10,CUS0135,PRD067,1,470.1,263.6,206.5,Marketplace
SAL00051,2022-09-10,ST08,CUS0325,PRD073,3,1586.88,931.2,655.68,Online
SAL00052,2025-04-12,ST07,CUS0012,PRD031,3,1345.2,680.73,664.47,Mobile App
SAL00053,2024-02-09,ST06,CUS0111,PRD033,1,338.51,236.17,102.34,Mobile App
SAL00054,2022-09-07,ST08,CUS0362,PRD035,5,2161.08,1354.85,806.23,Online
SAL00055,2023-03-14,ST06,CUS0012,PRD044,3,1651.26,1022.13,629.13,Marketplace
SAL00056,2024-04-20,ST08,CUS0096,PRD005,1,72.21,41.75,30.46,Marketplace
SAL00057,2024-04-15,ST06,CUS0241,PRD068,1,322.43,241.43,81.0,Marketplace
SAL00058,2023-12-05,ST02,CUS0247,PRD008,2,512.8,261.36,251.44,Retail Store
SAL00059,2024-02-25,ST03,CUS0308,PRD021,3,495.42,353.16,142.26,Marketplace
SAL00060,2024-11-26,ST10,CUS0112,PRD013,1,572.18,308.2,263.98,Online
SAL00061,2023-06-25,ST08,CUS0252,PRD025,1,227.74,144.31,83.43,Mobile App
SAL00062,2024-06-13,ST10,CUS0331,PRD077,1,308.97,182.73,126.24,Mobile App
SAL00063,2023-02-07,ST12,CUS0359,PRD014,1,195.85,104.45,91.4,Online
SAL00064,2022-11-09,ST09,CUS0211,PRD064,1,161.6,103.2,58.4,Retail Store
SAL00065,2022-10-02,ST09,CUS0356,PRD043,1,275.99,163.5,112.49,Marketplace
SAL00066,2023-02-08,ST01,CUS0034,PRD075,1,481.37,256.45,224.92,Mobile App
SAL00067,2024-03-02,ST07,CUS0016,PRD016,1,337.8,178.49,159.31,Retail Store
SAL00068,2023-02-28,ST08,CUS0019,PRD064,1,153.1,103.2,49.9,Online
SAL00069,2023-12-31,ST11,CUS0349,PRD069,2,771.14,445.28,325.86,Marketplace
SAL00070,2024-04-02,ST05,CUS0375,PRD068,3,916.38,724.29,192.09,Online
SAL00071,2024-04-16,ST05,CUS0117,PRD002,2,371.2,280.72,90.48,Mobile App
SAL00072,2025-02-24,ST07,CUS0110,PRD060,1,362.14,165.18,196.96,Mobile App
SAL00073,2022-11-03,ST05,CUS0150,PRD001,3,1001.19,665.13,336.06,Online
SAL00074,2025-03-25,ST09,CUS0095,PRD062,1,400.07,264.27,135.8,Retail Store
SAL00075,2024-11-22,ST08,CUS0061,PRD025,4,819.86,577.24,242.62,Online
SAL00076,2023-02-05,ST04,CUS0132,PRD050,1,127.11,76.64,50.47,Marketplace
SAL00077,2024-12-24,ST09,CUS0382,PRD064,1,170.11,103.2,66.91,Mobile App
SAL00078,2024-05-22,ST01,CUS0137,PRD034,2,281.72,206.0,75.72,Mobile App
SAL00079,2023-11-26,ST01,CUS0111,PRD076,3,396.6,243.6,153.0,Online
SAL00080,2022-07-01,ST11,CUS0237,PRD005,1,72.21,41.75,30.46,Marketplace
SAL00081,2024-10-27,ST06,CUS0366,PRD001,1,370.81,221.71,149.1,Marketplace
SAL00082,2024-05-08,ST01,CUS0320,PRD080,1,349.85,175.08,174.77,Mobile App
SAL00083,2024-01-06,ST11,CUS0106,PRD021,1,165.14,117.72,47.42,Online
SAL00084,2023-01-15,ST11,CUS0307,PRD078,2,635.92,346.78,289.14,Marketplace
SAL00085,2024-01-23,ST04,CUS0101,PRD049,2,919.6,519.3,400.3,Online
SAL00086,2024-01-30,ST07,CUS0184,PRD032,2,1276.64,645.2,631.44,Mobile App
SAL00087,2025-06-06,ST01,CUS0126,PRD001,4,1409.08,886.84,522.24,Retail Store
SAL00088,2023-06-03,ST01,CUS0141,PRD046,1,490.11,263.91,226.2,Marketplace
SAL00089,2025-03-03,ST01,CUS0084,PRD027,2,1156.82,582.5,574.32,Online
SAL00090,2023-04-07,ST04,CUS0183,PRD078,1,353.29,173.39,179.9,Mobile App
SAL00091,2023-05-06,ST05,CUS0012,PRD001,1,370.81,221.71,149.1,Online
SAL00092,2024-03-23,ST09,CUS0341,PRD011,3,1252.14,586.41,665.73,Retail Store
SAL00093,2023-06-13,ST03,CUS0265,PRD050,3,381.33,229.92,151.41,Mobile App
SAL00094,2023-11-08,ST12,CUS0064,PRD068,1,339.4,241.43,97.97,Online
SAL00095,2025-07-05,ST05,CUS0178,PRD008,2,512.8,261.36,251.44,Mobile App
SAL00096,2025-05-30,ST09,CUS0112,PRD058,1,451.54,300.58,150.96,Marketplace
SAL00097,2024-01-01,ST08,CUS0308,PRD063,1,314.78,149.01,165.77,Online
SAL00098,2023-06-25,ST06,CUS0367,PRD035,4,1920.96,1083.88,837.08,Online
SAL00099,2025-07-02,ST06,CUS0054,PRD068,1,339.4,241.43,97.97,Online
SAL00100,2023-12-12,ST11,CUS0075,PRD063,1,314.78,149.01,165.77,Online
SAL00101,2022-12-31,ST03,CUS0141,PRD056,1,371.75,269.62,102.13,Mobile App
SAL00102,2022-09-12,ST06,CUS0259,PRD013,1,572.18,308.2,263.98,Mobile App
SAL00103,2023-10-30,ST08,CUS0332,PRD047,3,1000.66,643.59,357.07,Retail Store
SAL00104,2023-06-09,ST10,CUS0174,PRD044,1,550.42,340.71,209.71,Online
SAL00105,2025-05-07,ST02,CUS0263,PRD007,2,692.77,435.5,257.27,Marketplace
SAL00106,2023-11-12,ST05,CUS0169,PRD080,1,349.85,175.08,174.77,Marketplace
SAL00107,2024-06-18,ST11,CUS0053,PRD050,1,127.11,76.64,50.47,Retail Store
SAL00108,2024-02-27,ST09,CUS0263,PRD038,3,800.1,569.25,230.85,Retail Store
SAL00109,2023-01-22,ST01,CUS0378,PRD042,2,1116.0,678.82,437.18,Online
SAL00110,2024-11-23,ST07,CUS0148,PRD033,2,712.66,472.34,240.32,Retail Store
SAL00111,2024-11-05,ST01,CUS0171,PRD031,1,425.98,226.91,199.07,Marketplace
SAL00112,2023-02-26,ST06,CUS0185,PRD077,1,343.3,182.73,160.57,Online
SAL00113,2024-01-17,ST09,CUS0171,PRD048,2,394.34,296.72,97.62,Retail Store
SAL00114,2023-06-26,ST12,CUS0260,PRD008,2,569.78,261.36,308.42,Online
SAL00115,2024-02-18,ST06,CUS0225,PRD058,2,903.08,601.16,301.92,Marketplace
SAL00116,2022-10-24,ST08,CUS0322,PRD058,1,428.96,300.58,128.38,Mobile App
SAL00117,2023-06-03,ST03,CUS0295,PRD048,2,438.16,296.72,141.44,Mobile App
SAL00118,2024-05-17,ST04,CUS0065,PRD016,2,608.04,356.98,251.06,Marketplace
SAL00119,2024-04-03,ST12,CUS0148,PRD019,1,251.05,189.52,61.53,Online
SAL00120,2022-12-22,ST08,CUS0306,PRD062,3,1080.19,792.81,287.38,Retail Store
SAL00121,2022-12-24,ST01,CUS0253,PRD003,4,2074.24,1127.0,947.24,Mobile App
SAL00122,2024-11-09,ST05,CUS0308,PRD047,1,316.0,214.53,101.47,Mobile App
SAL00123,2024-12-01,ST12,CUS0353,PRD073,4,2010.05,1241.6,768.45,Marketplace
SAL00124,2025-02-14,ST02,CUS0369,PRD034,1,148.68,103.0,45.68,Marketplace
SAL00125,2024-05-17,ST11,CUS0102,PRD017,4,288.5,165.36,123.14,Mobile App
SAL00126,2022-12-24,ST08,CUS0338,PRD054,2,127.4,67.38,60.02,Online
SAL00127,2025-06-12,ST10,CUS0187,PRD043,5,1379.95,817.5,562.45,Mobile App
SAL00128,2025-07-09,ST08,CUS0087,PRD004,2,1029.7,583.56,446.14,Marketplace
SAL00129,2024-07-05,ST12,CUS0320,PRD034,1,156.51,103.0,53.51,Marketplace
SAL00130,2024-12-05,ST03,CUS0064,PRD039,2,737.2,460.52,276.68,Marketplace
SAL00131,2024-11-25,ST08,CUS0348,PRD019,3,794.98,568.56,226.42,Mobile App
SAL00132,2023-04-30,ST05,CUS0033,PRD026,2,1056.7,480.48,576.22,Retail Store
SAL00133,2025-05-16,ST02,CUS0142,PRD026,1,501.93,240.24,261.69,Retail Store
SAL00134,2023-12-14,ST05,CUS0174,PRD008,1,284.89,130.68,154.21,Mobile App
SAL00135,2025-02-19,ST05,CUS0124,PRD072,3,1654.56,857.4,797.16,Mobile App
SAL00136,2023-06-07,ST06,CUS0173,PRD080,2,664.72,350.16,314.56,Online
SAL00137,2022-12-11,ST09,CUS0218,PRD016,3,1013.4,535.47,477.93,Online
SAL00138,2023-07-11,ST08,CUS0337,PRD048,5,1040.63,741.8,298.83,Marketplace
SAL00139,2023-08-03,ST09,CUS0028,PRD066,1,431.95,293.37,138.58,Mobile App
SAL00140,2024-10-17,ST12,CUS0155,PRD001,1,333.73,221.71,112.02,Retail Store
SAL00141,2023-11-19,ST07,CUS0258,PRD004,3,1625.85,875.34,750.51,Mobile App
SAL00142,2023-10-22,ST08,CUS0041,PRD026,2,1056.7,480.48,576.22,Mobile App
SAL00143,2023-09-17,ST08,CUS0349,PRD043,2,496.78,327.0,169.78,Mobile App
SAL00144,2023-10-13,ST11,CUS0048,PRD021,2,297.25,235.44,61.81,Marketplace
SAL00145,2024-11-05,ST04,CUS0119,PRD075,1,481.37,256.45,224.92,Marketplace
SAL00146,2023-09-28,ST10,CUS0399,PRD006,5,781.35,367.1,414.25,Retail Store
SAL00147,2025-06-25,ST09,CUS0019,PRD054,1,57.33,33.69,23.64,Mobile App
SAL00148,2023-08-03,ST01,CUS0046,PRD004,2,1083.9,583.56,500.34,Mobile App
SAL00149,2024-12-23,ST10,CUS0101,PRD071,2,116.72,81.9,34.82,Retail Store
SAL00150,2025-07-02,ST04,CUS0190,PRD014,1,195.85,104.45,91.4,Retail Store
SAL00151,2024-11-10,ST05,CUS0208,PRD021,1,165.14,117.72,47.42,Retail Store
SAL00152,2022-07-22,ST04,CUS0363,PRD079,1,106.03,64.58,41.45,Online
SAL00153,2024-09-01,ST04,CUS0222,PRD074,1,159.22,99.72,59.5,Retail Store
SAL00154,2023-02-20,ST11,CUS0002,PRD024,1,79.18,41.01,38.17,Marketplace
SAL00155,2024-09-14,ST11,CUS0087,PRD067,3,1484.52,790.8,693.72,Online
SAL00156,2023-05-28,ST05,CUS0153,PRD068,2,644.86,482.86,162.0,Retail Store
SAL00157,2023-08-25,ST08,CUS0396,PRD053,2,1020.05,562.6,457.45,Marketplace
SAL00158,2023-06-28,ST05,CUS0383,PRD032,1,638.32,322.6,315.72,Retail Store
SAL00159,2024-12-07,ST05,CUS0120,PRD070,1,421.32,300.33,120.99,Retail Store
SAL00160,2023-07-02,ST03,CUS0151,PRD024,3,225.66,123.03,102.63,Marketplace
SAL00161,2024-03-22,ST05,CUS0247,PRD038,2,533.4,379.5,153.9,Marketplace
SAL00162,2023-02-10,ST01,CUS0141,PRD040,1,151.02,93.59,57.43,Marketplace
SAL00163,2023-02-28,ST11,CUS0100,PRD072,2,1103.04,571.6,531.44,Marketplace
SAL00164,2024-01-18,ST07,CUS0223,PRD077,2,686.6,365.46,321.14,Marketplace
SAL00165,2025-02-19,ST06,CUS0334,PRD077,3,926.91,548.19,378.72,Retail Store
SAL00166,2022-10-29,ST08,CUS0243,PRD071,1,58.36,40.95,17.41,Mobile App
SAL00167,2023-03-31,ST03,CUS0291,PRD079,2,212.06,129.16,82.9,Marketplace
SAL00168,2023-07-02,ST11,CUS0229,PRD068,1,339.4,241.43,97.97,Mobile App
SAL00169,2023-12-23,ST10,CUS0197,PRD033,2,712.66,472.34,240.32,Mobile App
SAL00170,2024-09-20,ST06,CUS0048,PRD032,3,1914.96,967.8,947.16,Marketplace
SAL00171,2023-12-12,ST11,CUS0160,PRD052,2,660.12,348.64,311.48,Online
SAL00172,2025-06-28,ST01,CUS0143,PRD079,1,106.03,64.58,41.45,Marketplace
SAL00173,2022-08-21,ST01,CUS0389,PRD075,1,456.04,256.45,199.59,Marketplace
SAL00174,2024-07-12,ST10,CUS0393,PRD035,1,456.23,270.97,185.26,Marketplace
SAL00175,2024-08-13,ST09,CUS0342,PRD054,2,127.4,67.38,60.02,Retail Store
SAL00176,2025-04-19,ST03,CUS0094,PRD069,2,694.03,445.28,248.75,Online
SAL00177,2023-12-31,ST11,CUS0341,PRD032,4,2553.28,1290.4,1262.88,Mobile App
SAL00178,2023-05-12,ST08,CUS0287,PRD050,3,381.33,229.92,151.41,Online
SAL00179,2024-05-14,ST08,CUS0116,PRD007,3,1154.61,653.25,501.36,Online
SAL00180,2023-08-27,ST09,CUS0362,PRD063,2,629.56,298.02,331.54,Retail Store
SAL00181,2022-10-23,ST12,CUS0346,PRD050,2,254.22,153.28,100.94,Online
SAL00182,2024-06-20,ST08,CUS0212,PRD066,1,479.94,293.37,186.57,Mobile App
SAL00183,2023-05-07,ST04,CUS0257,PRD064,1,170.11,103.2,66.91,Mobile App
SAL00184,2023-08-20,ST10,CUS0168,PRD043,1,262.19,163.5,98.69,Mobile App
SAL00185,2025-05-05,ST07,CUS0340,PRD058,1,451.54,300.58,150.96,Marketplace
SAL00186,2022-11-03,ST09,CUS0198,PRD065,3,783.0,471.63,311.37,Retail Store
SAL00187,2022-11-29,ST02,CUS0173,PRD046,1,490.11,263.91,226.2,Marketplace
SAL00188,2024-10-22,ST07,CUS0334,PRD062,3,1200.21,792.81,407.4,Mobile App
SAL00189,2023-07-01,ST04,CUS0136,PRD078,2,671.25,346.78,324.47,Online
SAL00190,2024-11-19,ST01,CUS0240,PRD022,3,539.7,269.34,270.36,Marketplace
SAL00191,2023-10-09,ST07,CUS0131,PRD014,3,587.55,313.35,274.2,Online
SAL00192,2022-12-18,ST03,CUS0130,PRD033,2,712.66,472.34,240.32,Retail Store
SAL00193,2022-12-17,ST02,CUS0078,PRD038,1,240.03,189.75,50.28,Marketplace
SAL00194,2023-06-02,ST08,CUS0129,PRD057,2,883.8,407.06,476.74,Mobile App
SAL00195,2023-02-11,ST04,CUS0026,PRD018,1,547.65,312.35,235.3,Retail Store
SAL00196,2022-10-08,ST10,CUS0048,PRD074,1,150.84,99.72,51.12,Mobile App
SAL00197,2023-04-03,ST07,CUS0175,PRD003,1,518.56,281.75,236.81,Retail Store
SAL00198,2024-04-05,ST06,CUS0115,PRD031,1,403.56,226.91,176.65,Mobile App
SAL00199,2024-11-05,ST02,CUS0279,PRD007,1,384.87,217.75,167.12,Online
SAL00200,2023-04-20,ST12,CUS0096,PRD024,2,142.52,82.02,60.5,Marketplace
SAL00201,2024-02-18,ST12,CUS0211,PRD055,1,366.59,188.75,177.84,Online
SAL00202,2023-05-25,ST10,CUS0344,PRD063,1,314.78,149.01,165.77,Mobile App
SAL00203,2022-07-25,ST04,CUS0107,PRD017,2,144.25,82.68,61.57,Retail Store
SAL00204,2024-11-16,ST01,CUS0206,PRD001,3,1001.19,665.13,336.06,Retail Store
SAL00205,2022-09-15,ST01,CUS0023,PRD063,3,944.34,447.03,497.31,Online
SAL00206,2024-12-01,ST02,CUS0309,PRD017,1,72.13,41.34,30.79,Mobile App
SAL00207,2024-09-09,ST11,CUS0236,PRD045,1,357.11,178.36,178.75,Marketplace
SAL00208,2023-06-19,ST10,CUS0317,PRD047,1,351.11,214.53,136.58,Mobile App
SAL00209,2025-02-15,ST01,CUS0243,PRD017,1,80.14,41.34,38.8,Mobile App
SAL00210,2025-04-15,ST07,CUS0318,PRD079,2,212.06,129.16,82.9,Retail Store
SAL00211,2023-11-15,ST06,CUS0111,PRD038,1,240.03,189.75,50.28,Online
SAL00212,2025-03-23,ST01,CUS0160,PRD006,1,148.46,73.42,75.04,Marketplace
SAL00213,2023-01-24,ST04,CUS0064,PRD047,1,351.11,214.53,136.58,Marketplace
SAL00214,2023-12-10,ST10,CUS0006,PRD010,2,668.1,380.12,287.98,Online
SAL00215,2023-12-01,ST09,CUS0206,PRD014,1,176.26,104.45,71.81,Marketplace
SAL00216,2023-07-10,ST04,CUS0174,PRD037,2,369.04,189.68,179.36,Retail Store
SAL00217,2024-08-02,ST04,CUS0229,PRD037,1,194.23,94.84,99.39,Retail Store
SAL00218,2024-08-31,ST02,CUS0126,PRD037,3,524.42,284.52,239.9,Online
SAL00219,2023-04-14,ST04,CUS0145,PRD057,3,1325.7,610.59,715.11,Online
SAL00220,2024-10-19,ST07,CUS0218,PRD053,1,536.87,281.3,255.57,Marketplace
SAL00221,2022-07-27,ST04,CUS0090,PRD006,1,156.27,73.42,82.85,Marketplace
SAL00222,2022-11-12,ST06,CUS0212,PRD012,3,1354.98,884.82,470.16,Retail Store
SAL00223,2023-10-06,ST03,CUS0391,PRD054,1,63.7,33.69,30.01,Marketplace
SAL00224,2023-09-20,ST06,CUS0170,PRD042,1,620.0,339.41,280.59,Marketplace
SAL00225,2023-12-30,ST01,CUS0072,PRD059,1,310.62,162.6,148.02,Marketplace
SAL00226,2022-08-24,ST01,CUS0383,PRD061,1,351.38,170.32,181.06,Marketplace
SAL00227,2024-02-15,ST01,CUS0058,PRD041,4,792.52,415.84,376.68,Mobile App
SAL00228,2025-04-24,ST08,CUS0282,PRD056,2,826.1,539.24,286.86,Marketplace
SAL00229,2024-01-28,ST06,CUS0002,PRD075,2,962.75,512.9,449.85,Retail Store
SAL00230,2022-07-19,ST02,CUS0092,PRD010,3,901.94,570.18,331.76,Retail Store
SAL00231,2023-11-05,ST12,CUS0233,PRD050,1,114.4,76.64,37.76,Online
SAL00232,2022-08-06,ST06,CUS0124,PRD024,2,158.36,82.02,76.34,Online
SAL00233,2024-01-19,ST11,CUS0009,PRD030,1,255.97,143.34,112.63,Mobile App
SAL00234,2024-12-15,ST12,CUS0145,PRD068,2,610.92,482.86,128.06,Mobile App
SAL00235,2024-12-06,ST06,CUS0215,PRD011,3,1189.53,586.41,603.12,Retail Store
SAL00236,2024-01-06,ST05,CUS0298,PRD057,1,441.9,203.53,238.37,Online
SAL00237,2024-04-08,ST09,CUS0362,PRD014,3,587.55,313.35,274.2,Retail Store
SAL00238,2024-06-14,ST03,CUS0139,PRD019,1,264.99,189.52,75.47,Mobile App
SAL00239,2024-10-04,ST09,CUS0384,PRD053,5,2684.35,1406.5,1277.85,Mobile App
SAL00240,2024-03-28,ST01,CUS0294,PRD015,2,1069.28,540.58,528.7,Retail Store
SAL00241,2025-07-01,ST11,CUS0036,PRD039,2,737.2,460.52,276.68,Mobile App
SAL00242,2024-11-25,ST09,CUS0279,PRD040,5,755.1,467.95,287.15,Mobile App
SAL00243,2024-02-19,ST10,CUS0026,PRD013,2,1144.36,616.4,527.96,Online
SAL00244,2024-12-16,ST06,CUS0201,PRD037,2,388.46,189.68,198.78,Online
SAL00245,2025-02-07,ST04,CUS0104,PRD054,1,63.7,33.69,30.01,Mobile App
SAL00246,2022-10-07,ST06,CUS0363,PRD062,1,400.07,264.27,135.8,Online
SAL00247,2025-05-04,ST01,CUS0359,PRD060,2,724.28,330.36,393.92,Mobile App
SAL00248,2024-05-17,ST05,CUS0208,PRD016,2,675.6,356.98,318.62,Marketplace
SAL00249,2025-07-23,ST11,CUS0017,PRD058,2,903.08,601.16,301.92,Retail Store
SAL00250,2024-10-24,ST12,CUS0006,PRD060,2,724.28,330.36,393.92,Marketplace
SAL00251,2024-11-10,ST03,CUS0057,PRD008,3,854.67,392.04,462.63,Online
SAL00252,2023-10-29,ST04,CUS0349,PRD071,1,58.36,40.95,17.41,Marketplace
SAL00253,2023-05-08,ST11,CUS0230,PRD012,2,812.99,589.88,223.11,Mobile App
SAL00254,2023-11-21,ST02,CUS0271,PRD049,2,873.62,519.3,354.32,Marketplace
SAL00255,2025-03-18,ST06,CUS0228,PRD078,1,353.29,173.39,179.9,Mobile App
SAL00256,2024-10-10,ST08,CUS0049,PRD078,2,706.58,346.78,359.8,Online
SAL00257,2024-07-02,ST12,CUS0391,PRD004,2,1083.9,583.56,500.34,Retail Store
SAL00258,2022-09-21,ST06,CUS0370,PRD045,2,642.8,356.72,286.08,Retail Store
SAL00259,2024-06-29,ST09,CUS0311,PRD049,2,919.6,519.3,400.3,Online
SAL00260,2023-07-18,ST10,CUS0250,PRD010,5,1670.25,950.3,719.95,Marketplace
SAL00261,2024-02-15,ST08,CUS0330,PRD037,3,582.69,284.52,298.17,Mobile App
SAL00262,2024-08-18,ST07,CUS0023,PRD039,2,737.2,460.52,276.68,Mobile App
SAL00263,2025-01-09,ST12,CUS0077,PRD046,1,490.11,263.91,226.2,Online
SAL00264,2023-10-30,ST01,CUS0240,PRD048,1,208.13,148.36,59.77,Marketplace
SAL00265,2022-07-25,ST10,CUS0004,PRD048,1,219.08,148.36,70.72,Marketplace
SAL00266,2024-04-08,ST08,CUS0007,PRD024,1,71.26,41.01,30.25,Mobile App
SAL00267,2022-07-08,ST11,CUS0076,PRD055,4,1466.36,755.0,711.36,Marketplace
SAL00268,2025-01-18,ST11,CUS0298,PRD015,1,534.64,270.29,264.35,Marketplace
SAL00269,2022-07-22,ST03,CUS0390,PRD004,2,1029.7,583.56,446.14,Retail Store
SAL00270,2023-03-11,ST07,CUS0288,PRD016,4,1216.08,713.96,502.12,Retail Store
SAL00271,2023-10-24,ST10,CUS0014,PRD016,1,337.8,178.49,159.31,Marketplace
SAL00272,2023-04-18,ST11,CUS0301,PRD001,2,741.62,443.42,298.2,Mobile App
SAL00273,2023-03-08,ST09,CUS0002,PRD074,5,838.0,498.6,339.4,Marketplace
SAL00274,2024-07-29,ST04,CUS0026,PRD007,1,384.87,217.75,167.12,Marketplace
SAL00275,2023-07-03,ST03,CUS0342,PRD052,2,594.11,348.64,245.47,Retail Store
SAL00276,2023-11-28,ST11,CUS0343,PRD045,1,321.4,178.36,143.04,Marketplace
SAL00277,2024-07-19,ST08,CUS0252,PRD060,1,362.14,165.18,196.96,Retail Store
SAL00278,2024-11-13,ST10,CUS0344,PRD036,1,315.69,199.03,116.66,Online
SAL00279,2024-04-07,ST03,CUS0260,PRD050,1,127.11,76.64,50.47,Retail Store
SAL00280,2023-08-04,ST07,CUS0172,PRD073,1,476.06,310.4,165.66,Marketplace
SAL00281,2025-03-18,ST01,CUS0223,PRD040,1,143.47,93.59,49.88,Marketplace
SAL00282,2025-03-03,ST06,CUS0326,PRD026,2,951.03,480.48,470.55,Mobile App
SAL00283,2022-12-19,ST10,CUS0357,PRD050,1,127.11,76.64,50.47,Online
SAL00284,2024-11-17,ST06,CUS0019,PRD020,1,357.7,203.54,154.16,Online
SAL00285,2023-02-18,ST04,CUS0206,PRD048,2,394.34,296.72,97.62,Marketplace
SAL00286,2023-01-21,ST09,CUS0375,PRD037,1,174.81,94.84,79.97,Online
SAL00287,2022-07-30,ST01,CUS0023,PRD046,1,465.6,263.91,201.69,Mobile App
SAL00288,2024-05-08,ST08,CUS0218,PRD014,1,195.85,104.45,91.4,Marketplace
SAL00289,2025-02-06,ST06,CUS0097,PRD061,2,632.48,340.64,291.84,Retail Store
SAL00290,2024-11-24,ST12,CUS0067,PRD071,2,116.72,81.9,34.82,Marketplace
SAL00291,2024-02-29,ST09,CUS0135,PRD064,3,484.81,309.6,175.21,Mobile App
SAL00292,2025-06-09,ST10,CUS0231,PRD064,3,510.33,309.6,200.73,Mobile App
