ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,ProductStatus
PRD098,Pulse Audio 98,Audio,Budget,Aero,272.59,567.94,Active
PRD099,Orbit Laptops 99,Laptops,Premium,Orbit,105.56,228.91,Active
PRD100,Volt Accessories 100,Accessories,Premium,Orbit,427.35,1039.72,Active
PRD101,Pulse Wearables 101,Wearables,Premium,Pulse,119.74,207.03,Active
PRD102,Nexus Accessories 102,Accessories,Premium,Volt,440.51,589.12,Active
PRD103,Nexus Laptops 103,Laptops,Budget,Core,503.65,1185.79,Discontinued
PRD104,Pulse Accessories 104,Accessories,Standard,Core,501.93,1168.96,Active
PRD105,Orbit Accessories 105,Accessories,Standard,Aero,208.41,351.53,Active
PRD106,Volt Gaming 106,Gaming,Budget,Nexus,347.69,449.23,Active
PRD107,Nexus Gaming 107,Gaming,Premium,Orbit,455.39,931.81,Active
PRD108,Aero Wearables 108,Wearables,Premium,Aero,267.64,615.47,Discontinued
PRD109,Pulse Laptops 109,Laptops,Premium,Nexus,448.09,1035.44,Active
PRD110,Pulse Audio 110,Audio,Standard,Volt,134.62,226.13,Active
PRD111,Orbit Wearables 111,Wearables,Budget,Nexus,219.05,295.29,Discontinued
PRD112,Nexus Wearables 112,Wearables,Budget,Orbit,337.84,474.27,Active
PRD113,Aero Smartphones 113,Smartphones,Standard,Nexus,169.12,275.79,Active
PRD114,Orbit Wearables 114,,Premium,Aero,269.37,463.43,Active
PRD115,Volt Laptops 115,Laptops,Premium,Volt,333.3,704.07,Active
PRD116,Aero Laptops 116,Laptops,Budget,Pulse,361.75,763.65,Discontinued
PRD117,Volt Laptops 117,Laptops,Standard,Pulse,291.82,432.95,Active
PRD118,Nexus Audio 118,Audio,Standard,Orbit,373.47,588.39,Active
PRD119,Nexus Audio 119,Audio,Budget,Aero,412.85,978.16,Active
PRD120,Nexus Accessories 120,Accessories,Budget,Aero,41.88,74.57,Discontinued
PRD121,Nexus Smartphones 121,Smartphones,Standard,Nexus,198.99,335.41,Active
PRD122,Pulse Gaming 122,Gaming,Budget,Orbit,99.36,208.69,Active
PRD123,Orbit Wearables 123,Wearables,Budget,Nexus,82.83,183.07,Active
PRD124,Orbit Audio 124,Audio,Standard,Aero,529.2,801.35,Active
PRD125,Aero Wearables 125,Wearables,Budget,Nexus,193.28,266.76,Active
PRD126,Aero Wearables 126,Wearables,Standard,Pulse,363.5,683.71,Active
PRD127,Volt Smartphones 127,Smartphones,Standard,Aero,457.88,659.02,Active
PRD128,Pulse Accessories 128,Accessories,Premium,Core,162.48,389.92,Discontinued
PRD129,Volt Accessories 129,Accessories,Budget,Orbit,459.25,761.05,Active
PRD130,Orbit Gaming 130,Gaming,Premium,Aero,31.43,56.45,Active
PRD131,Aero Laptops 131,Laptops,Budget,Pulse,182.39,294.87,Active
PRD132,Volt Audio 132,Audio,Premium,Volt,231.64,337.72,Active
PRD133,Nexus Accessories 133,Accessories,Standard,Core,405.95,619.15,Active
PRD134,Nexus Gaming 134,Gaming,Premium,Volt,374.33,578.6,Active
PRD135,Nexus Laptops 135,Laptops,Standard,Pulse,312.21,570.26,Active
PRD136,Pulse Smartphones 136,Smartphones,Standard,Volt,311.71,438.89,Active
PRD137,Volt Laptops 137,Laptops,Budget,Nexus,481.52,891.85,Active
PRD138,Pulse Accessories 138,Accessories,Budget,Volt,397.57,811.51,Discontinued
PRD139,Pulse Accessories 139,Accessories,Budget,Nexus,163.6,240.32,Active
PRD140,Nexus Laptops 140,Laptops,Budget,Aero,381.41,880.78,Active
PRD141,Aero Laptops 141,Laptops,Standard,Orbit,201.46,407.14,Active
PRD142,Volt Wearables 142,Wearables,Budget,Volt,274.0,542.72,Active
PRD143,Volt Accessories 143,Accessories,Budget,Nexus,182.41,384.27,Active
PRD144,Nexus Audio 144,Audio,Premium,Orbit,158.0,377.82,Active
PRD145,Orbit Smartphones 145,Smartphones,Standard,Aero,473.2,934.5,Active
PRD146,Nexus Gaming 146,Gaming,Premium,Core,432.93,1041.45,Active
PRD147,Nexus Gaming 147,Gaming,Standard,Pulse,73.34,178.89,Active
PRD148,Nexus Gaming 148,Gaming,Budget,Volt,322.37,770.6,Active
PRD149,Volt Accessories 149,Accessories,Premium,Orbit,318.54,741.32,Active
PRD150,Aero Smartphones 150,Smartphones,Premium,Core,354.76,503.81,Active
