InventoryID,SnapshotDate,StoreID,ProductID,ClosingStock,StockValue,ReorderLevel,StockStatus
INV000072,2023-01-31,STR17,PRD059,147,68334.42,21,OK
INV000073,2023-01-31,STR17,PRD119,123,50780.55,24,OK
INV000074,2023-01-31,STR17,PRD039,93,30053.88,16,OK
INV000075,2023-01-31,STR17,PRD066,6,2094.36,20,Low
INV000076,2023-01-31,STR17,PRD103,125,62956.25,24,OK
INV000077,2023-01-31,STR17,PRD061,98,50659.14,23,OK
INV000078,2023-01-31,STR17,PRD012,62,3791.92,18,OK
INV000079,2023-01-31,STR17,PRD013,19,5376.81,30,OK
INV000080,2023-01-31,STR17,PRD033,135,15597.9,17,OK
INV000081,2023-01-31,STR17,PRD062,7,2888.13,24,Low
INV000082,2023-01-31,STR17,PRD009,136,71586.32,28,OK
INV000083,2023-01-31,STR17,PRD044,71,3718.98,28,OK
INV000084,2023-01-31,STR17,PRD144,98,15484.0,5,OK
INV000085,2023-01-31,STR17,PRD150,63,22349.88,27,OK
INV000086,2023-01-31,STR17,PRD023,36,3452.04,17,OK
INV000087,2023-01-31,STR17,PRD094,131,34715.0,13,OK
INV000088,2023-01-31,STR17,PRD132,119,27565.16,5,OK
INV000089,2023-01-31,STR17,PRD073,80,35801.6,16,OK
INV000090,2023-01-31,STR17,PRD051,117,37032.84,26,OK
INV000091,2023-01-31,STR01,PRD076,26,13564.2,10,OK
INV000092,2023-01-31,STR01,PRD015,75,39129.75,24,OK
INV000093,2023-01-31,STR01,PRD054,128,63901.44,30,OK
INV000094,2023-01-31,STR01,PRD079,112,7591.36,15,OK
INV000095,2023-01-31,STR01,PRD030,79,35158.95,19,OK
INV000096,2023-01-31,STR01,PRD141,63,12691.98,21,OK
INV000097,2023-01-31,STR01,PRD065,55,12295.25,21,OK
INV000098,2023-01-31,STR01,PRD077,107,28946.71,7,OK
INV000099,2023-01-31,STR01,PRD090,15,8027.4,16,OK
INV000100,2023-01-31,STR01,PRD108,43,11508.52,25,OK
INV000101,2023-01-31,STR01,PRD087,104,8316.88,19,OK
INV000102,2023-01-31,STR01,PRD046,137,74136.18,7,OK
INV000103,2023-01-31,STR01,PRD080,81,36614.43,27,OK
INV000104,2023-01-31,STR01,PRD020,16,7098.24,13,OK
INV000105,2023-01-31,STR01,PRD107,24,10929.36,20,OK
INV000106,2023-01-31,STR01,PRD063,113,48979.85,11,OK
INV000107,2023-01-31,STR01,PRD038,26,8116.42,12,OK
INV000108,2023-01-31,STR01,PRD047,54,14347.26,10,OK
INV000109,2023-01-31,STR01,PRD128,35,5686.8,13,OK
INV000110,2023-01-31,STR01,PRD011,49,11318.02,13,OK
INV000111,2023-01-31,STR01,PRD044,53,2776.14,10,OK
INV000112,2023-01-31,STR01,PRD067,60,8400.6,7,OK
INV000113,2023-01-31,STR01,PRD137,141,67894.32,7,OK
INV000114,2023-01-31,STR01,PRD010,139,59273.77,15,OK
INV000115,2023-01-31,STR01,PRD031,87,7546.38,27,OK
INV000116,2023-01-31,STR01,PRD058,114,5753.58,21,OK
INV000117,2023-01-31,STR01,PRD003,148,49781.28,26,OK
INV000118,2023-01-31,STR01,PRD001,90,37910.7,13,OK
INV000119,2023-01-31,STR01,PRD086,122,57405.88,13,OK
INV000120,2023-01-31,STR01,PRD006,133,57735.3,16,OK
INV000121,2023-01-31,STR14,PRD105,51,10628.91,21,OK
INV000122,2023-01-31,STR14,PRD032,110,57164.8,14,OK
INV000123,2023-01-31,STR14,PRD014,130,8145.8,13,OK
INV000124,2023-01-31,STR14,PRD047,58,15410.02,7,OK
INV000125,2023-01-31,STR14,PRD119,139,57386.15,13,OK
INV000126,2023-01-31,STR14,PRD106,23,7996.87,10,OK
INV000127,2023-01-31,STR14,PRD125,149,28798.72,14,OK
INV000128,2023-01-31,STR14,PRD055,99,15744.96,6,OK
INV000129,2023-01-31,STR14,PRD084,94,30321.58,9,OK
INV000130,2023-01-31,STR14,PRD114,41,11044.17,25,OK
INV000131,2023-01-31,STR14,PRD025,42,9675.96,15,OK
INV000132,2023-01-31,STR14,PRD077,69,18666.57,10,OK
INV000133,2023-01-31,STR14,PRD065,65,14530.75,15,OK
INV000134,2023-01-31,STR14,PRD126,130,47255.0,16,OK
INV000135,2023-01-31,STR14,PRD086,104,48936.16,25,OK
INV000136,2023-01-31,STR14,PRD132,150,34746.0,21,OK
INV000137,2023-01-31,STR14,PRD148,121,39006.77,17,OK
INV000138,2023-01-31,STR14,PRD134,67,25080.11,23,OK
INV000139,2023-01-31,STR14,PRD081,22,7976.98,29,OK
INV000140,2023-01-31,STR14,PRD121,21,4178.79,13,OK
INV000141,2023-01-31,STR14,PRD010,133,56715.19,23,OK
INV000142,2023-01-31,STR14,PRD063,41,17771.45,20,OK
INV000143,2023-01-31,STR14,PRD019,137,43460.51,9,OK
INV000144,2023-01-31,STR14,PRD135,14,4370.94,20,OK
INV000145,2023-01-31,STR14,PRD030,78,34713.9,29,OK
INV000146,2023-01-31,STR14,PRD144,123,19434.0,15,OK
INV000147,2023-01-31,STR14,PRD095,115,22784.95,21,OK
INV000148,2023-01-31,STR14,PRD129,116,53273.0,22,OK
INV000149,2023-01-31,STR14,PRD078,13,5296.85,8,OK
INV000150,2023-01-31,STR14,PRD082,35,16902.9,12,OK
INV000151,2023-01-31,STR15,PRD095,136,26945.68,30,OK
INV000152,2023-01-31,STR15,PRD080,127,57407.81,5,OK
INV000153,2023-01-31,STR15,PRD018,145,78310.15,9,OK
INV000154,2023-01-31,STR15,PRD019,25,7930.75,16,OK
INV000155,2023-01-31,STR15,PRD070,122,53904.48,18,OK
INV000156,2023-01-31,STR15,PRD083,147,78236.34,11,OK
INV000157,2023-01-31,STR15,PRD111,31,6790.55,26,OK
INV000158,2023-01-31,STR15,PRD046,47,25433.58,11,OK
INV000159,2023-01-31,STR15,PRD049,63,2685.69,13,OK
INV000160,2023-01-31,STR15,PRD055,80,12723.2,6,OK
INV000161,2023-01-31,STR15,PRD041,27,3678.21,30,OK
INV000162,2023-01-31,STR15,PRD102,82,36121.82,19,OK
INV000163,2023-01-31,STR15,PRD108,73,19537.72,20,OK
INV000164,2023-01-31,STR15,PRD098,108,29439.72,29,OK
INV000165,2023-01-31,STR15,PRD145,12,5678.4,27,OK
INV000166,2023-01-31,STR15,PRD090,46,24617.36,7,OK
INV000167,2023-01-31,STR15,PRD113,127,21478.24,21,OK
INV000168,2023-01-31,STR15,PRD003,10,3363.6,29,OK
INV000169,2023-01-31,STR15,PRD149,81,25801.74,15,OK
INV000170,2023-01-31,STR15,PRD093,145,3627.9,29,OK
INV000171,2023-01-31,STR15,PRD130,55,1728.65,18,OK
INV000172,2023-01-31,STR15,PRD119,11,4541.35,6,OK
INV000173,2023-01-31,STR15,PRD125,135,26092.8,5,OK
INV000174,2023-01-31,STR15,PRD142,7,1918.0,20,Low
INV000175,2023-01-31,STR15,PRD115,93,30996.9,10,OK
INV000176,2023-01-31,STR15,PRD134,132,49411.56,24,OK
INV000177,2023-01-31,STR15,PRD053,14,775.32,23,OK
INV000178,2023-01-31,STR15,PRD120,40,1675.2,12,OK
INV000179,2023-01-31,STR15,PRD029,21,5365.71,7,OK
INV000180,2023-01-31,STR15,PRD025,77,17739.26,18,OK
INV000181,2023-01-31,STR04,PRD135,54,16859.34,6,OK
INV000182,2023-01-31,STR04,PRD132,13,3011.32,27,OK
INV000183,2023-01-31,STR04,PRD064,148,25703.16,26,OK
INV000184,2023-01-31,STR04,PRD083,35,18627.7,10,OK
INV000185,2023-01-31,STR04,PRD125,99,19134.72,23,OK
INV000186,2023-01-31,STR04,PRD053,49,2713.62,29,OK
INV000187,2023-01-31,STR04,PRD008,9,2041.65,19,Low
INV000188,2023-01-31,STR04,PRD146,144,62341.92,20,OK
INV000189,2023-01-31,STR04,PRD046,111,60066.54,5,OK
INV000190,2023-01-31,STR04,PRD121,102,20296.98,18,OK
INV000191,2023-01-31,STR04,PRD026,116,49304.64,22,OK
INV000192,2023-01-31,STR04,PRD091,52,7413.64,6,OK
INV000193,2023-01-31,STR04,PRD003,57,19172.52,9,OK
INV000194,2023-01-31,STR04,PRD056,17,8652.32,23,OK
INV000195,2023-01-31,STR04,PRD058,12,605.64,28,OK
INV000196,2023-01-31,STR04,PRD011,35,8084.3,9,OK
INV000197,2023-01-31,STR04,PRD139,20,3272.0,12,OK
INV000198,2023-01-31,STR04,PRD094,146,38690.0,23,OK
INV000199,2023-01-31,STR04,PRD075,104,28506.4,17,OK
INV000200,2023-01-31,STR04,PRD043,96,7543.68,10,OK
INV000201,2023-01-31,STR04,PRD005,62,27542.26,29,OK
INV000202,2023-01-31,STR04,PRD034,123,46719.09,19,OK
INV000203,2023-01-31,STR04,PRD112,21,7094.64,5,OK
INV000204,2023-01-31,STR04,PRD079,135,9150.3,16,OK
INV000205,2023-01-31,STR04,PRD078,121,49301.45,5,OK
INV000206,2023-01-31,STR04,PRD059,100,46486.0,17,OK
INV000207,2023-01-31,STR04,PRD023,14,1342.46,26,OK
INV000208,2023-01-31,STR04,PRD049,58,2472.54,11,OK
INV000209,2023-01-31,STR04,PRD022,125,19360.0,18,OK
INV000210,2023-01-31,STR04,PRD036,26,11524.5,9,OK
INV000211,2023-01-31,STR02,PRD061,45,23261.85,5,OK
INV000212,2023-01-31,STR02,PRD093,9,225.18,8,Low
INV000213,2023-01-31,STR02,PRD015,18,9391.14,29,OK
INV000214,2023-01-31,STR02,PRD033,80,9243.2,24,OK
INV000215,2023-01-31,STR02,PRD017,114,5320.38,30,OK
INV000216,2023-01-31,STR02,PRD115,67,22331.1,11,OK
INV000217,2023-01-31,STR02,PRD116,126,45580.5,29,OK
INV000218,2023-01-31,STR02,PRD103,135,67992.75,18,OK
INV000219,2023-01-31,STR02,PRD011,20,4619.6,29,OK
INV000220,2023-01-31,STR02,PRD032,98,50928.64,28,OK
INV000221,2023-01-31,STR02,PRD106,125,43461.25,5,OK
INV000222,2023-01-31,STR02,PRD070,34,15022.56,7,OK
INV000223,2023-01-31,STR02,PRD134,74,27700.42,24,OK
INV000224,2023-01-31,STR02,PRD129,148,67969.0,27,OK
INV000225,2023-01-31,STR02,PRD085,126,15596.28,21,OK
INV000226,2023-01-31,STR02,PRD081,73,26469.07,16,OK
INV000227,2023-01-31,STR02,PRD012,31,1895.96,22,OK
INV000228,2023-01-31,STR02,PRD067,122,17081.22,25,OK
INV000229,2023-01-31,STR02,PRD150,107,37959.32,9,OK
INV000230,2023-01-31,STR02,PRD091,69,9837.33,26,OK
INV000231,2023-01-31,STR02,PRD086,99,46583.46,26,OK
INV000232,2023-01-31,STR02,PRD098,67,18263.53,8,OK
INV000233,2023-01-31,STR02,PRD094,59,15635.0,6,OK
INV000234,2023-01-31,STR02,PRD079,140,9489.2,23,OK
INV000235,2023-01-31,STR02,PRD126,57,20719.5,20,OK
INV000236,2023-01-31,STR02,PRD004,50,13913.0,7,OK
INV000237,2023-01-31,STR02,PRD020,114,50574.96,21,OK
INV000238,2023-01-31,STR02,PRD025,96,22116.48,27,OK
INV000239,2023-01-31,STR02,PRD014,41,2569.06,30,OK
INV000240,2023-01-31,STR02,PRD125,84,16235.52,9,OK
INV000241,2023-01-31,STR11,PRD145,84,39748.8,25,OK
INV000242,2023-01-31,STR11,PRD060,137,37984.62,20,OK
INV000243,2023-01-31,STR11,PRD123,60,4969.8,22,OK
INV000244,2023-01-31,STR11,PRD099,44,4644.64,11,OK
INV000245,2023-01-31,STR11,PRD110,41,5519.42,5,OK
INV000246,2023-01-31,STR11,PRD119,124,51193.4,22,OK
INV000247,2023-01-31,STR11,PRD075,149,40840.9,17,OK
INV000248,2023-01-31,STR11,PRD141,33,6648.18,5,OK
INV000249,2023-01-31,STR11,PRD081,101,36621.59,6,OK
INV000250,2023-01-31,STR11,PRD122,117,11625.12,25,OK
INV000251,2023-01-31,STR11,PRD048,135,13576.95,19,OK
INV000252,2023-01-31,STR11,PRD097,135,31006.8,10,OK
INV000253,2023-01-31,STR11,PRD023,119,11410.91,5,OK
INV000254,2023-01-31,STR11,PRD005,101,44867.23,5,OK
INV000255,2023-01-31,STR11,PRD001,1,421.23,6,Low
INV000256,2023-01-31,STR11,PRD006,70,30387.0,30,OK
INV000257,2023-01-31,STR11,PRD091,35,4989.95,24,OK
INV000258,2023-01-31,STR11,PRD025,47,10827.86,6,OK
INV000259,2023-01-31,STR11,PRD036,140,62055.0,5,OK
INV000260,2023-01-31,STR11,PRD028,36,2833.2,19,OK
INV000261,2023-01-31,STR11,PRD131,47,8572.33,18,OK
INV000262,2023-01-31,STR11,PRD087,4,319.88,27,Low
INV000263,2023-01-31,STR11,PRD116,117,42324.75,13,OK
INV000264,2023-01-31,STR11,PRD015,45,23477.85,14,OK
INV000265,2023-01-31,STR11,PRD144,77,12166.0,10,OK
INV000266,2023-01-31,STR11,PRD138,41,16300.37,8,OK
INV000267,2023-01-31,STR11,PRD022,123,19050.24,15,OK
INV000268,2023-01-31,STR11,PRD126,146,53071.0,17,OK
INV000269,2023-01-31,STR11,PRD041,62,8446.26,8,OK
INV000270,2023-01-31,STR11,PRD017,39,1820.13,10,OK
INV000271,2023-01-31,STR03,PRD060,112,31053.12,29,OK
INV000272,2023-01-31,STR03,PRD123,1,82.83,13,Low
INV000273,2023-01-31,STR03,PRD050,115,16779.65,17,OK
INV000274,2023-01-31,STR03,PRD121,57,11342.43,8,OK
INV000275,2023-01-31,STR03,PRD041,88,11988.24,10,OK
INV000276,2023-01-31,STR03,PRD137,131,63079.12,22,OK
INV000277,2023-01-31,STR03,PRD101,127,15206.98,24,OK
INV000278,2023-01-31,STR03,PRD064,146,25355.82,17,OK
INV000279,2023-01-31,STR03,PRD124,85,44982.0,16,OK
INV000280,2023-01-31,STR03,PRD067,48,6720.48,13,OK
INV000281,2023-01-31,STR03,PRD009,14,7369.18,22,OK
INV000282,2023-01-31,STR03,PRD022,78,12080.64,18,OK
INV000283,2023-01-31,STR03,PRD129,147,67509.75,5,OK
INV000284,2023-01-31,STR03,PRD034,143,54315.69,5,OK
INV000285,2023-01-31,STR03,PRD024,37,1369.74,26,OK
INV000286,2023-01-31,STR03,PRD008,49,11115.65,30,OK
INV000287,2023-01-31,STR03,PRD063,62,26873.9,8,OK
INV000288,2023-01-31,STR03,PRD013,73,20658.27,13,OK
INV000289,2023-01-31,STR03,PRD056,89,45297.44,26,OK
INV000290,2023-01-31,STR03,PRD106,42,14602.98,22,OK
INV000291,2023-01-31,STR03,PRD011,128,29565.44,8,OK
INV000292,2023-01-31,STR03,PRD058,79,3987.13,29,OK
INV000293,2023-01-31,STR03,PRD003,140,47090.4,12,OK
INV000294,2023-01-31,STR03,PRD087,94,7517.18,26,OK
INV000295,2023-01-31,STR03,PRD141,98,19743.08,12,OK
INV000296,2023-01-31,STR03,PRD107,18,8197.02,15,OK
INV000297,2023-01-31,STR03,PRD145,125,59150.0,28,OK
INV000298,2023-01-31,STR03,PRD079,61,4134.58,15,OK
INV000299,2023-01-31,STR03,PRD014,56,3508.96,14,OK
INV000300,2023-01-31,STR03,PRD045,136,45520.56,12,OK
INV000301,2023-01-31,STR05,PRD121,33,6566.67,9,OK
INV000302,2023-01-31,STR05,PRD012,0,0.0,18,Out of Stock
INV000303,2023-01-31,STR05,PRD131,80,14591.2,8,OK
INV000304,2023-01-31,STR05,PRD049,123,5243.49,24,OK
INV000305,2023-01-31,STR05,PRD033,58,6701.32,14,OK
INV000306,2023-01-31,STR05,PRD111,10,2190.5,13,OK
INV000307,2023-01-31,STR05,PRD051,100,31652.0,19,OK
INV000308,2023-01-31,STR05,PRD125,128,24739.84,9,OK
INV000309,2023-01-31,STR05,PRD079,80,5422.4,14,OK
INV000310,2023-01-31,STR05,PRD080,92,41586.76,7,OK
INV000311,2023-01-31,STR05,PRD055,135,21470.4,12,OK
INV000312,2023-01-31,STR05,PRD052,30,12603.0,25,OK
INV000313,2023-01-31,STR05,PRD139,79,12924.4,26,OK
INV000314,2023-01-31,STR05,PRD090,74,39601.84,11,OK
INV000315,2023-01-31,STR05,PRD098,74,20171.66,28,OK
INV000316,2023-01-31,STR05,PRD007,135,68324.85,6,OK
INV000317,2023-01-31,STR05,PRD068,135,10633.95,21,OK
INV000318,2023-01-31,STR05,PRD058,34,1715.98,26,OK
INV000319,2023-01-31,STR05,PRD113,126,21309.12,24,OK
INV000320,2023-01-31,STR05,PRD024,86,3183.72,14,OK
INV000321,2023-01-31,STR05,PRD023,109,10452.01,5,OK
INV000322,2023-01-31,STR05,PRD006,98,42541.8,14,OK
INV000323,2023-01-31,STR05,PRD122,114,11327.04,11,OK
INV000324,2023-01-31,STR05,PRD034,122,46339.26,15,OK
INV000325,2023-01-31,STR05,PRD011,82,18940.36,19,OK
INV000326,2023-01-31,STR05,PRD101,10,1197.4,14,OK
INV000327,2023-01-31,STR05,PRD064,15,2605.05,7,OK
INV000328,2023-01-31,STR05,PRD046,147,79547.58,28,OK
INV000329,2023-01-31,STR05,PRD129,22,10103.5,5,OK
INV000330,2023-01-31,STR05,PRD091,33,4704.81,14,OK
INV000331,2023-01-31,STR07,PRD096,126,65688.84,21,OK
INV000332,2023-01-31,STR07,PRD131,137,24987.43,14,OK
INV000333,2023-01-31,STR07,PRD015,15,7825.95,23,OK
INV000334,2023-01-31,STR07,PRD010,95,40510.85,13,OK
INV000335,2023-01-31,STR07,PRD022,138,21373.44,12,OK
INV000336,2023-01-31,STR07,PRD119,62,25596.7,18,OK
INV000337,2023-01-31,STR07,PRD104,130,65250.9,24,OK
INV000338,2023-01-31,STR07,PRD007,78,39476.58,26,OK
INV000339,2023-01-31,STR07,PRD076,11,5738.7,7,OK
INV000340,2023-01-31,STR07,PRD013,14,3961.86,28,OK
INV000341,2023-01-31,STR07,PRD033,119,13749.26,21,OK
INV000342,2023-01-31,STR07,PRD098,93,25350.87,29,OK
INV000343,2023-01-31,STR07,PRD048,148,14884.36,18,OK
INV000344,2023-01-31,STR07,PRD114,44,11852.28,28,OK
INV000345,2023-01-31,STR07,PRD062,69,28468.71,27,OK
INV000346,2023-01-31,STR07,PRD001,122,51390.06,19,OK
INV000347,2023-01-31,STR07,PRD002,100,45995.0,5,OK
INV000348,2023-01-31,STR07,PRD004,57,15860.82,15,OK
INV000349,2023-01-31,STR07,PRD137,41,19742.32,14,OK
INV000350,2023-01-31,STR07,PRD105,105,21883.05,18,OK
INV000351,2023-01-31,STR07,PRD107,50,22769.5,25,OK
INV000352,2023-01-31,STR07,PRD117,19,5544.58,10,OK
INV000353,2023-01-31,STR07,PRD087,123,9836.31,21,OK
INV000354,2023-01-31,STR07,PRD006,148,64246.8,28,OK
INV000355,2023-01-31,STR07,PRD088,105,39637.5,5,OK
INV000356,2023-01-31,STR07,PRD050,52,7587.32,6,OK
INV000357,2023-01-31,STR07,PRD051,52,16459.04,6,OK
INV000358,2023-01-31,STR07,PRD005,131,58194.13,16,OK
INV000359,2023-01-31,STR07,PRD070,77,34021.68,13,OK
INV000360,2023-01-31,STR07,PRD147,8,586.72,20,Low
INV000361,2023-02-28,STR19,PRD069,66,22768.68,13,OK
INV000362,2023-02-28,STR19,PRD028,117,9207.9,14,OK
INV000363,2023-02-28,STR19,PRD026,3,1275.12,30,Low
INV000364,2023-02-28,STR19,PRD135,148,46207.08,18,OK
INV000365,2023-02-28,STR19,PRD062,72,29706.48,19,OK
INV000366,2023-02-28,STR19,PRD005,109,48421.07,6,OK
INV000367,2023-02-28,STR19,PRD045,88,29454.48,8,OK
INV000368,2023-02-28,STR19,PRD089,71,35256.47,5,OK
INV000369,2023-02-28,STR19,PRD120,112,4690.56,7,OK
INV000370,2023-02-28,STR19,PRD097,21,4823.28,26,OK
INV000371,2023-02-28,STR19,PRD043,142,11158.36,20,OK
INV000372,2023-02-28,STR19,PRD039,18,5816.88,5,OK
INV000373,2023-02-28,STR19,PRD084,87,28063.59,19,OK
INV000374,2023-02-28,STR19,PRD126,39,14176.5,19,OK
INV000375,2023-02-28,STR19,PRD011,56,12934.88,18,OK
INV000376,2023-02-28,STR19,PRD078,106,43189.7,15,OK
INV000377,2023-02-28,STR19,PRD145,59,27918.8,29,OK
INV000378,2023-02-28,STR19,PRD004,100,27826.0,17,OK
INV000379,2023-02-28,STR19,PRD121,37,7362.63,12,OK
INV000380,2023-02-28,STR19,PRD060,90,24953.4,14,OK
INV000381,2023-02-28,STR19,PRD036,29,12854.25,10,OK
INV000382,2023-02-28,STR19,PRD117,87,25388.34,18,OK
INV000383,2023-02-28,STR19,PRD061,91,47040.63,28,OK
INV000384,2023-02-28,STR19,PRD118,81,30251.07,10,OK
INV000385,2023-02-28,STR19,PRD129,84,38577.0,13,OK
INV000386,2023-02-28,STR19,PRD098,77,20989.43,10,OK
INV000387,2023-02-28,STR19,PRD008,95,21550.75,9,OK
INV000388,2023-02-28,STR19,PRD092,116,15410.6,5,OK
INV000389,2023-02-28,STR19,PRD040,75,26075.25,16,OK
INV000390,2023-02-28,STR19,PRD094,41,10865.0,18,OK
INV000391,2023-02-28,STR08,PRD031,15,1301.1,6,OK
INV000392,2023-02-28,STR08,PRD045,10,3347.1,26,OK
INV000393,2023-02-28,STR08,PRD122,64,6359.04,24,OK
INV000394,2023-02-28,STR08,PRD135,6,1873.26,27,Low
INV000395,2023-02-28,STR08,PRD033,47,5430.38,29,OK
INV000396,2023-02-28,STR08,PRD046,74,40044.36,26,OK
INV000397,2023-02-28,STR08,PRD063,51,22105.95,23,OK
INV000398,2023-02-28,STR08,PRD097,12,2756.16,8,OK
INV000399,2023-02-28,STR08,PRD101,41,4909.34,20,OK
INV000400,2023-02-28,STR08,PRD009,116,61058.92,27,OK
INV000401,2023-02-28,STR08,PRD143,145,26449.45,8,OK
INV000402,2023-02-28,STR08,PRD109,73,32710.57,19,OK
INV000403,2023-02-28,STR08,PRD145,79,37382.8,6,OK
INV000404,2023-02-28,STR08,PRD108,125,33455.0,30,OK
INV000405,2023-02-28,STR08,PRD100,66,28205.1,14,OK
INV000406,2023-02-28,STR08,PRD052,82,34448.2,29,OK
INV000407,2023-02-28,STR08,PRD115,51,16998.3,12,OK
INV000408,2023-02-28,STR08,PRD111,141,30886.05,16,OK
INV000409,2023-02-28,STR08,PRD134,7,2620.31,18,Low
INV000410,2023-02-28,STR08,PRD092,92,12222.2,25,OK
INV000411,2023-02-28,STR08,PRD077,33,8927.49,11,OK
INV000412,2023-02-28,STR08,PRD037,5,989.0,20,Low
INV000413,2023-02-28,STR08,PRD129,150,68887.5,9,OK
INV000414,2023-02-28,STR08,PRD043,125,9822.5,11,OK
INV000415,2023-02-28,STR08,PRD120,15,628.2,21,OK
INV000416,2023-02-28,STR08,PRD019,87,27599.01,12,OK
INV000417,2023-02-28,STR08,PRD103,123,61948.95,11,OK
INV000418,2023-02-28,STR08,PRD125,132,25512.96,25,OK
INV000419,2023-02-28,STR08,PRD038,58,18105.86,5,OK
INV000420,2023-02-28,STR08,PRD032,91,47290.88,24,OK
INV000421,2023-02-28,STR09,PRD131,5,911.95,22,Low
