ReturnID,SalesID,ReturnDate,ProductID,StoreID,CustomerID,ReturnQuantity,RefundAmount,ReturnReason
RET00023,SAL03410,2024-03-06,PRD116,STR15,CUS0352,1,507.24,Damaged
RET00024,SAL11897,2025-05-18,PRD136,STR05,CUS0065,1,221.1,Wrong Item
RET00025,SAL14957,2024-04-13,PRD016,STR09,CUS0536,1,748.87,Damaged
RET00026,SAL00150,2024-05-06,PRD122,STR09,CUS0634,1,610.3,Wrong Item
RET00027,SAL05223,2023-12-04,PRD037,STR13,CUS0192,1,1305.15,Damaged
RET00028,SAL03837,2023-02-12,PRD135,STR18,CUS0286,1,427.8,Changed Mind
RET00029,SAL13567,2025-05-17,PRD027,STR16,CUS0694,1,529.04,Changed Mind
RET00030,SAL11617,2023-10-16,PRD030,STR09,CUS0251,1,999.16,Performance Issues
RET00031,SAL07440,2024-11-13,PRD132,STR16,CUS0176,1,263.81,Not as Described
RET00032,SAL11090,2022-03-06,PRD024,STR03,CUS0581,1,186.58,Not as Described
RET00033,SAL13016,2025-08-03,PRD061,STR19,CUS0260,1,1439.28,Performance Issues
RET00034,SAL06002,2024-12-08,PRD095,STR19,CUS0529,1,300.03,Damaged
RET00035,SAL05121,2023-09-26,PRD111,STR17,CUS0123,1,339.0,Damaged
RET00036,SAL02793,2022-01-28,PRD038,STR09,CUS0352,2,598.98,Not as Described
RET00037,SAL03925,2022-05-28,PRD133,STR05,CUS0063,1,736.02,Defective
RET00038,SAL01859,2025-07-26,PRD083,STR03,CUS0654,1,692.47,Changed Mind
RET00039,SAL10688,2024-04-09,PRD021,STR17,CUS0053,1,364.13,Wrong Item
RET00040,SAL11799,2022-05-03,PRD049,STR01,CUS0251,1,101.98,Damaged
RET00041,SAL12535,2023-06-07,PRD027,STR12,CUS0500,1,461.02,Changed Mind
RET00042,SAL12629,2022-09-14,PRD111,STR03,CUS0314,1,206.97,Changed Mind
RET00043,SAL12504,2024-07-01,PRD100,STR19,CUS0278,1,1583.39,Changed Mind
RET00044,SAL13644,2023-01-30,PRD047,STR07,CUS0070,2,1284.98,Not as Described
RET00045,SAL08166,2022-07-18,PRD131,STR14,CUS0234,1,446.32,Defective
RET00046,SAL06419,2023-03-21,PRD006,STR14,CUS0185,1,1830.35,Not as Described
RET00047,SAL09945,2025-08-11,PRD084,STR16,CUS0218,1,321.31,Defective
RET00048,SAL11066,2023-01-05,PRD009,STR11,CUS0386,1,1505.65,Wrong Item
RET00049,SAL08448,2025-05-21,PRD097,STR03,CUS0778,1,266.8,Performance Issues
RET00050,SAL14164,2022-11-15,PRD105,STR03,CUS0723,1,243.75,Damaged
RET00051,SAL08578,2023-02-15,PRD008,STR10,CUS0360,1,468.1,Damaged
RET00052,SAL14912,2022-12-12,PRD095,STR10,CUS0300,2,1016.07,Performance Issues
RET00053,SAL14590,2023-01-12,PRD112,STR17,CUS0007,1,362.64,Performance Issues
RET00054,SAL04197,2022-04-05,PRD092,STR06,CUS0592,1,174.18,Damaged
RET00055,SAL14131,2023-12-18,PRD094,STR14,CUS0500,2,905.94,Damaged
RET00056,SAL04501,2023-08-18,PRD011,STR14,CUS0067,1,386.5,Performance Issues
RET00057,SAL03449,2023-06-01,PRD007,STR19,CUS0265,1,720.4,Not as Described
RET00058,SAL01953,2025-09-25,PRD047,STR20,CUS0405,3,1895.86,Changed Mind
RET00059,SAL00015,2025-08-22,PRD046,STR01,CUS0105,1,585.94,Performance Issues
RET00060,SAL04431,2024-07-23,PRD138,STR14,CUS0482,1,1001.6,Wrong Item
RET00061,SAL11956,2024-09-27,PRD001,STR17,CUS0725,2,1973.35,Damaged
RET00062,SAL00879,2025-08-06,PRD087,STR20,CUS0011,2,161.73,Not as Described
RET00063,SAL11708,2022-02-18,PRD080,STR07,CUS0175,1,1643.2,Changed Mind
RET00064,SAL05233,2022-06-28,PRD075,STR13,CUS0153,1,283.96,Defective
RET00065,SAL04466,2023-11-06,PRD057,STR20,CUS0590,1,2649.59,Damaged
RET00066,SAL05632,2023-05-31,PRD071,STR18,CUS0606,1,167.79,Damaged
RET00067,SAL12262,2024-03-01,PRD133,STR06,CUS0604,1,432.9,Damaged
RET00068,SAL10720,2024-10-02,PRD084,STR13,CUS0707,1,878.67,Performance Issues
RET00069,SAL07577,2025-04-26,PRD116,STR03,CUS0054,1,665.9,Not as Described
RET00070,SAL00756,2023-11-22,PRD071,STR06,CUS0605,1,130.55,Changed Mind
RET00071,SAL10283,2023-03-30,PRD129,STR01,CUS0101,1,465.2,Defective
RET00072,SAL00767,2023-07-14,PRD032,STR19,CUS0189,1,588.71,Defective
RET00073,SAL09128,2023-10-18,PRD033,STR10,CUS0106,2,604.39,Performance Issues
RET00074,SAL08010,2022-11-23,PRD116,STR20,CUS0210,3,2402.65,Damaged
RET00075,SAL02312,2024-08-01,PRD028,STR09,CUS0525,2,211.67,Not as Described
RET00076,SAL13250,2025-08-14,PRD116,STR14,CUS0095,1,461.68,Performance Issues
RET00077,SAL09820,2025-08-16,PRD074,STR09,CUS0759,3,1384.46,Damaged
RET00078,SAL00096,2025-07-13,PRD134,STR02,CUS0138,1,402.0,Damaged
RET00079,SAL13589,2023-12-20,PRD138,STR07,CUS0575,1,723.9,Wrong Item
RET00080,SAL03122,2024-03-09,PRD132,STR09,CUS0611,1,727.05,Defective
RET00081,SAL07868,2022-07-04,PRD110,STR10,CUS0009,1,204.41,Damaged
RET00082,SAL08810,2022-12-04,PRD095,STR02,CUS0728,1,802.7,Wrong Item
RET00083,SAL10042,2023-01-21,PRD017,STR17,CUS0629,1,114.14,Defective
RET00084,SAL00794,2025-07-31,PRD004,STR04,CUS0595,1,349.73,Wrong Item
RET00085,SAL13734,2024-09-30,PRD105,STR03,CUS0453,1,348.76,Wrong Item
RET00086,SAL14935,2022-05-12,PRD080,STR15,CUS0098,1,948.48,Wrong Item
RET00087,SAL09182,2023-10-27,PRD055,STR17,CUS0532,1,224.46,Wrong Item
RET00088,SAL08528,2024-07-08,PRD058,STR06,CUS0358,1,63.66,Defective
RET00089,SAL01297,2024-03-23,PRD089,STR17,CUS0768,2,2734.18,Defective
RET00090,SAL10105,2024-07-14,PRD114,STR16,CUS0377,1,224.69,Changed Mind
RET00091,SAL09084,2023-07-25,PRD089,STR09,CUS0288,2,2340.44,Not as Described
RET00092,SAL00740,2025-01-22,PRD103,STR09,CUS0443,1,2167.95,Not as Described
RET00093,SAL12381,2023-10-28,PRD018,STR11,CUS0671,1,1359.36,Wrong Item
RET00094,SAL02836,2023-06-18,PRD106,STR10,CUS0035,1,415.42,Changed Mind
RET00095,SAL09524,2022-04-09,PRD093,STR14,CUS0506,1,19.41,Defective
RET00096,SAL00677,2025-01-11,PRD054,STR08,CUS0112,2,1833.56,Not as Described
RET00097,SAL13960,2023-10-26,PRD034,STR07,CUS0455,1,558.95,Defective
RET00098,SAL03976,2024-10-30,PRD089,STR01,CUS0684,1,1602.37,Not as Described
RET00099,SAL08582,2025-08-02,PRD029,STR17,,1,482.82,Defective
RET00100,SAL04257,2022-10-18,PRD092,STR12,CUS0682,1,257.51,Performance Issues
RET00101,SAL13939,2024-09-17,PRD104,STR06,CUS0434,1,1253.21,Changed Mind
RET00102,SAL04320,2024-04-30,PRD049,STR11,CUS0482,2,247.8,Performance Issues
RET00103,SAL08637,2023-06-19,PRD041,STR05,CUS0376,1,623.81,Wrong Item
RET00104,SAL03743,2023-02-08,PRD101,STR16,CUS0698,1,147.47,Wrong Item
RET00105,SAL11759,2023-07-18,PRD053,STR12,CUS0703,1,86.46,Performance Issues
RET00106,SAL08103,2024-01-17,PRD024,STR18,CUS0566,1,64.37,Not as Described
RET00107,SAL01920,2025-06-02,PRD031,STR10,CUS0141,1,262.41,Changed Mind
RET00108,SAL10358,2023-02-09,PRD092,STR03,CUS0276,4,656.46,Wrong Item
RET00109,SAL11942,2024-10-05,PRD020,STR01,CUS0527,1,344.08,Not as Described
RET00110,SAL06271,2024-05-22,PRD088,STR14,CUS0300,1,1030.85,Damaged
RET00111,SAL01782,2024-10-30,PRD067,STR08,CUS0073,3,408.39,Not as Described
RET00112,SAL11016,2023-07-12,PRD016,STR20,CUS0721,1,1917.84,Not as Described
RET00113,SAL09456,2022-06-12,PRD006,STR15,CUS0341,1,906.08,Defective
RET00114,SAL13579,2022-08-19,PRD132,STR12,CUS0345,2,869.62,Changed Mind
RET00115,SAL07524,2023-07-19,PRD103,STR02,CUS0781,1,1565.29,Defective
RET00116,SAL07747,2023-06-08,PRD083,STR05,CUS0045,1,1952.39,Damaged
RET00117,SAL13765,2023-10-08,PRD066,STR17,CUS0392,1,568.14,Defective
RET00118,SAL10829,2023-03-26,PRD087,STR10,CUS0419,1,73.81,Performance Issues
RET00119,SAL11465,2022-05-26,PRD125,STR01,CUS0531,1,159.63,Defective
RET00120,SAL04838,2023-07-13,PRD106,STR03,CUS0460,1,351.89,Not as Described
RET00121,SAL03319,2023-07-17,PRD101,STR10,CUS0567,1,279.17,Defective
RET00122,SAL06919,2023-05-05,PRD143,STR06,CUS0733,1,196.32,Defective
RET00123,SAL11442,2025-05-25,PRD101,STR15,CUS0061,2,512.36,Wrong Item
RET00124,SAL09215,2022-08-23,PRD143,STR18,CUS0626,1,646.0,Damaged
RET00125,SAL10942,2023-06-21,PRD135,STR02,CUS0055,1,303.99,Not as Described
RET00126,SAL11682,2023-06-08,PRD033,STR14,CUS0450,1,216.11,Defective
RET00127,SAL06373,2023-10-05,PRD037,STR09,CUS0212,1,616.06,Wrong Item
RET00128,SAL14384,2023-02-24,PRD023,STR13,CUS0168,1,200.36,Damaged
RET00129,SAL10188,2023-01-18,PRD002,STR09,CUS0030,1,940.25,Defective
RET00130,SAL10771,2022-10-22,PRD029,STR05,CUS0311,1,392.78,Defective
RET00131,SAL14540,2022-12-07,PRD042,STR07,CUS0139,1,586.77,Performance Issues
RET00132,SAL12008,2022-11-29,PRD066,STR12,CUS0360,1,470.5,Wrong Item
RET00133,SAL06326,2025-06-14,PRD108,STR02,CUS0111,1,1242.02,Wrong Item
RET00134,SAL08476,2023-10-26,PRD136,STR20,CUS0362,1,1149.75,Damaged
RET00135,SAL05566,2022-10-04,PRD028,STR10,CUS0095,1,88.09,Damaged
RET00136,SAL00164,2023-05-19,PRD115,STR13,CUS0186,1,682.46,Wrong Item
RET00137,SAL13163,2024-05-29,PRD087,STR02,CUS0640,1,221.62,Performance Issues
RET00138,SAL08749,2024-03-06,PRD089,STR03,CUS0624,2,3330.97,Defective
RET00139,SAL07316,2025-01-31,PRD055,STR06,CUS0564,1,175.21,Damaged
RET00140,SAL14876,2022-03-09,PRD068,STR03,CUS0355,1,469.0,Defective
RET00141,SAL05169,2024-02-08,PRD085,STR20,CUS0724,1,214.14,Not as Described
RET00142,SAL13717,2024-08-27,PRD018,STR15,CUS0541,1,523.62,Performance Issues
RET00143,SAL06476,2025-06-04,PRD070,STR08,CUS0588,1,984.78,Defective
RET00144,SAL05328,2025-01-03,PRD108,STR19,CUS0664,1,880.18,Wrong Item
RET00145,SAL00930,2022-12-12,PRD074,STR02,CUS0470,1,533.04,Wrong Item
RET00146,SAL07645,2023-01-27,PRD012,STR02,CUS0005,1,58.98,Not as Described
RET00147,SAL09702,2025-06-21,PRD037,STR17,CUS0458,1,253.99,Wrong Item
RET00148,SAL14084,2025-08-08,PRD089,STR17,CUS0076,1,1397.01,Wrong Item
RET00149,SAL13062,2023-01-17,PRD128,STR18,CUS0498,1,582.36,Wrong Item
RET00150,SAL14621,2024-05-12,PRD117,STR06,CUS0371,1,812.83,Defective
RET00151,SAL00871,2025-02-24,PRD108,STR04,CUS0432,2,1370.16,Not as Described
RET00152,SAL11813,2024-11-07,PRD076,STR20,CUS0323,1,1647.47,Not as Described
RET00153,SAL04741,2024-04-12,PRD079,STR09,CUS0158,1,69.1,Not as Described
RET00154,SAL05695,2023-01-05,PRD026,STR16,CUS0596,2,1287.34,Performance Issues
RET00155,SAL04629,2023-08-02,PRD022,STR16,CUS0023,4,729.68,Not as Described
RET00156,SAL03774,2024-05-28,PRD065,STR08,CUS0085,1,598.07,Changed Mind
RET00157,SAL02799,2025-03-08,PRD067,STR01,CUS0248,1,207.14,Performance Issues
RET00158,SAL04462,2024-01-21,PRD149,STR11,CUS0498,1,1286.99,Not as Described
RET00159,SAL11311,2024-02-22,PRD119,STR16,CUS0586,1,1606.02,Wrong Item
RET00160,SAL10861,2022-10-16,PRD075,STR17,CUS0453,1,319.96,Wrong Item
RET00161,SAL02866,2023-12-17,PRD095,STR19,CUS0148,1,928.99,Wrong Item
RET00162,SAL03011,2022-05-21,PRD086,STR12,CUS0529,1,1657.07,Changed Mind
RET00163,SAL00651,2023-11-14,PRD103,STR07,CUS0309,1,951.26,Changed Mind
RET00164,SAL07074,2024-08-10,PRD042,STR08,CUS0724,4,1730.35,Defective
RET00165,SAL07790,2022-03-17,PRD009,STR07,CUS0765,1,1473.11,Not as Described
RET00166,SAL02521,2024-09-29,PRD144,STR04,CUS0430,1,270.22,Wrong Item
RET00167,SAL14511,2023-01-31,PRD053,STR17,CUS0291,1,54.96,Performance Issues
RET00168,SAL08936,2023-04-18,PRD013,STR17,CUS0053,2,765.99,Defective
RET00169,SAL05975,2024-12-19,PRD066,STR14,CUS0225,1,336.57,Damaged
RET00170,SAL00278,2025-05-11,PRD050,STR19,CUS0110,1,268.78,Not as Described
RET00171,SAL11286,2025-05-07,PRD052,STR14,CUS0266,1,848.39,Not as Described
RET00172,SAL02454,2023-12-04,PRD024,STR05,CUS0274,1,134.39,Changed Mind
RET00173,SAL08767,2023-08-16,PRD039,STR16,CUS0491,1,1191.15,Damaged
RET00174,SAL03834,2024-05-14,PRD143,STR02,CUS0217,1,296.04,Changed Mind
RET00175,SAL00500,2025-08-28,PRD120,STR16,CUS0599,1,97.57,Performance Issues
RET00176,SAL06581,2025-06-04,PRD085,STR01,CUS0224,1,466.68,Changed Mind
RET00177,SAL02230,2022-10-13,PRD051,STR04,CUS0230,1,679.38,Defective
RET00178,SAL13331,2022-07-30,PRD118,STR12,CUS0222,1,955.26,Not as Described
RET00179,SAL06702,2023-02-18,PRD141,STR07,CUS0593,1,285.95,Damaged
RET00180,SAL14891,2022-07-20,PRD022,STR05,CUS0421,1,110.02,Performance Issues
RET00181,SAL01411,2025-01-17,PRD014,STR09,CUS0798,1,88.76,Changed Mind
RET00182,SAL14767,2025-05-06,PRD040,STR10,CUS0036,1,881.73,Defective
RET00183,SAL13515,2025-02-17,PRD096,STR19,CUS0209,1,946.9,Not as Described
RET00184,SAL11015,2023-06-03,PRD077,STR08,CUS0694,1,459.96,Performance Issues
RET00185,SAL08808,2022-09-30,PRD079,STR09,CUS0231,1,118.65,Performance Issues
RET00186,SAL14212,2022-06-20,PRD134,STR09,CUS0583,1,279.21,Changed Mind
RET00187,SAL07803,2024-11-09,PRD119,STR16,CUS0173,1,2040.46,Performance Issues
RET00188,SAL09554,2023-02-09,PRD021,STR07,CUS0566,1,313.34,Wrong Item
RET00189,SAL02006,2022-04-05,PRD114,STR01,CUS0634,1,544.89,Performance Issues
RET00190,SAL11299,2024-07-29,PRD029,STR19,CUS0129,1,524.63,Defective
RET00191,SAL08699,2025-09-04,PRD059,STR13,CUS0569,1,851.65,Damaged
RET00192,SAL04856,2023-11-08,PRD130,STR18,CUS0305,2,167.8,Defective
RET00193,SAL09230,2024-02-09,PRD108,STR06,CUS0291,1,402.75,Changed Mind
RET00194,SAL12112,2025-07-31,PRD052,STR05,CUS0192,1,512.73,Damaged
RET00195,SAL04033,2025-05-12,PRD089,STR17,CUS0654,1,571.41,Not as Described
RET00196,SAL04049,2025-06-28,PRD051,STR02,CUS0384,1,587.89,Not as Described
RET00197,SAL06854,2024-12-08,PRD035,STR02,CUS0406,1,384.51,Performance Issues
RET00198,SAL11231,2025-02-04,PRD057,STR05,CUS0588,1,803.53,Performance Issues
RET00199,SAL04997,2024-04-24,PRD128,STR01,CUS0005,1,214.66,Defective
RET00200,SAL05519,2024-08-31,PRD006,STR20,CUS0211,3,4173.22,Defective
RET00201,SAL03770,2024-06-02,PRD104,STR18,CUS0430,1,500.85,Damaged
RET00202,SAL02156,2022-04-30,PRD042,STR10,CUS0573,1,293.39,Performance Issues
RET00203,SAL07695,2024-02-03,PRD034,STR05,CUS0112,1,531.64,Damaged
RET00204,SAL04297,2023-01-02,PRD099,STR12,CUS0704,1,160.08,Defective
RET00205,SAL03259,2022-06-13,PRD077,STR05,CUS0204,1,428.39,Performance Issues
RET00206,SAL03682,2024-01-22,PRD030,STR07,CUS0741,1,1192.84,Wrong Item
RET00207,SAL13870,2024-12-27,PRD008,STR17,CUS0241,1,191.38,Changed Mind
RET00208,SAL08892,2023-06-01,PRD128,STR01,CUS0222,4,1447.65,Changed Mind
RET00209,SAL08079,2022-07-04,PRD037,STR07,CUS0309,1,264.68,Changed Mind
RET00210,SAL00620,2025-04-10,PRD086,STR11,CUS0023,1,585.01,Damaged
RET00211,SAL14697,2025-09-04,PRD042,STR17,CUS0596,1,348.44,Changed Mind
RET00212,SAL05416,2024-08-27,PRD029,STR13,CUS0071,1,201.36,Not as Described
RET00213,SAL04724,2024-08-25,PRD017,STR13,CUS0265,3,210.45,Defective
RET00214,SAL07029,2023-06-17,PRD075,STR02,CUS0326,2,954.83,Changed Mind
RET00215,SAL07641,2024-06-03,PRD030,STR16,CUS0275,3,2475.46,Performance Issues
RET00216,SAL09093,2025-07-29,PRD123,STR06,CUS0138,1,139.8,Performance Issues
RET00217,SAL00692,2024-07-02,PRD085,STR05,CUS0299,3,769.46,Damaged
RET00218,SAL03671,2023-01-30,PRD141,STR18,CUS0324,1,274.52,Performance Issues
RET00219,SAL01983,2025-07-29,PRD094,STR20,CUS0413,1,501.61,Damaged
RET00220,SAL14102,2025-02-15,PRD137,STR02,CUS0110,1,1078.44,Changed Mind
RET00221,SAL08809,2023-12-02,PRD049,STR01,CUS0097,1,220.55,Wrong Item
RET00222,SAL12428,2023-09-14,PRD020,STR04,CUS0519,2,1549.53,Damaged
RET00223,SAL00307,2022-05-31,PRD021,STR14,CUS0235,1,69.59,Not as Described
RET00224,SAL06166,2022-06-15,PRD138,STR13,CUS0780,1,1018.73,Changed Mind
RET00225,SAL12454,2024-02-23,PRD103,STR17,CUS0251,1,1957.89,Changed Mind
RET00226,SAL09593,2023-03-06,PRD030,STR13,CUS0098,1,423.39,Defective
RET00227,SAL02219,2024-12-11,PRD079,STR09,CUS0063,1,65.44,Damaged
RET00228,SAL00743,2023-07-11,PRD001,STR14,CUS0143,1,2546.97,Changed Mind
RET00229,SAL06079,2022-08-04,PRD086,STR14,CUS0402,1,1735.57,Damaged
RET00230,SAL02143,2025-04-02,PRD138,STR08,CUS0221,1,2419.12,Performance Issues
RET00231,SAL11019,2024-07-20,PRD117,STR05,CUS0633,3,1583.51,Changed Mind
RET00232,SAL11215,2023-07-24,PRD025,STR06,CUS0473,2,942.33,Performance Issues
RET00233,SAL09185,2024-12-14,PRD104,STR20,CUS0792,1,2934.25,Performance Issues
RET00234,SAL10252,2022-02-14,PRD019,STR07,CUS0793,1,1258.22,Performance Issues
RET00235,SAL10524,2022-03-18,PRD055,STR06,CUS0136,1,275.8,Changed Mind
RET00236,SAL03363,2023-01-29,PRD132,STR03,CUS0754,1,246.75,Performance Issues
RET00237,SAL04699,2024-08-05,PRD075,STR13,CUS0359,1,399.26,Changed Mind
RET00238,SAL05709,2023-06-26,PRD106,STR18,CUS0783,1,267.81,Defective
RET00239,SAL04021,2025-03-28,PRD018,STR20,CUS0433,1,374.44,Changed Mind
RET00240,SAL01853,2024-05-14,PRD060,STR13,CUS0158,2,1380.39,Defective
RET00241,SAL00929,2024-10-17,PRD051,STR15,CUS0244,1,261.78,Defective
RET00242,SAL11792,2023-06-22,PRD020,STR14,CUS0571,1,959.17,Defective
RET00243,SAL03936,2022-12-20,PRD116,STR06,CUS0138,1,692.28,Defective
RET00244,SAL00421,2022-06-11,PRD061,STR14,CUS0429,1,1341.77,Changed Mind
RET00245,SAL08171,2022-03-24,PRD110,STR10,CUS0499,1,558.68,Performance Issues
RET00246,SAL07919,2023-08-02,PRD150,STR07,CUS0635,1,737.21,Defective
RET00247,SAL02450,2022-09-05,PRD073,STR11,CUS0220,1,1542.54,Not as Described
RET00248,SAL02220,2023-04-18,PRD031,STR11,CUS0429,1,158.45,Defective
RET00249,SAL12512,2024-12-26,PRD066,STR12,CUS0595,1,829.32,Performance Issues
RET00250,SAL05988,2022-06-19,PRD082,STR09,CUS0092,1,1768.17,Damaged
RET00251,SAL09340,2023-07-01,PRD066,STR14,CUS0305,1,1488.37,Wrong Item
RET00252,SAL10360,2022-09-18,PRD100,STR12,CUS0288,1,981.2,Damaged
RET00253,SAL02007,2023-05-24,PRD072,STR10,CUS0543,1,772.54,Performance Issues
RET00254,SAL00969,2023-11-14,PRD038,STR02,CUS0301,1,230.55,Changed Mind
RET00255,SAL08655,2024-08-02,PRD044,STR12,CUS0488,1,86.64,Defective
RET00256,SAL04350,2024-04-27,PRD055,STR19,CUS0559,2,391.6,Wrong Item
RET00257,SAL04148,2025-02-11,PRD083,STR07,CUS0607,1,625.16,Not as Described
RET00258,SAL12412,2023-05-28,PRD045,STR04,CUS0666,1,572.92,Not as Described
RET00259,SAL11503,2025-06-15,PRD076,STR05,CUS0581,2,4024.84,Not as Described
RET00260,SAL10905,2024-11-06,PRD042,STR06,CUS0250,1,1128.23,Wrong Item
RET00261,SAL10545,2024-10-24,PRD121,STR04,CUS0303,1,216.01,Not as Described
RET00262,SAL11809,2024-09-03,PRD063,STR06,CUS0185,2,1418.88,Defective
RET00263,SAL13115,2022-07-21,PRD002,STR20,CUS0548,1,1107.75,Damaged
RET00264,SAL11463,2023-10-22,PRD019,STR19,CUS0583,1,878.62,Not as Described
RET00265,SAL02609,2022-12-23,PRD101,STR13,CUS0464,1,112.23,Not as Described
RET00266,SAL11866,2022-04-26,PRD074,STR08,CUS0666,1,521.94,Defective
RET00267,SAL14254,2022-10-22,PRD075,STR07,CUS0326,1,483.95,Changed Mind
RET00268,SAL11170,2023-05-01,PRD148,STR03,CUS0421,1,1224.97,Changed Mind
RET00269,SAL08021,2022-06-28,PRD070,STR15,CUS0096,3,2717.93,Damaged
RET00270,SAL04318,2025-06-27,PRD146,STR05,CUS0003,1,852.2,Defective
RET00271,SAL13259,2022-12-29,PRD106,STR14,CUS0537,1,347.0,Damaged
RET00272,SAL06881,2024-08-26,PRD102,STR04,CUS0479,1,528.86,Changed Mind
RET00273,SAL07497,2022-11-16,PRD114,STR16,CUS0373,2,1664.72,Defective
RET00274,SAL05963,2024-07-13,PRD103,STR16,CUS0212,2,2052.08,Defective
RET00275,SAL09654,2023-05-21,PRD127,STR06,CUS0407,1,938.36,Changed Mind
RET00276,SAL00852,2022-09-22,PRD137,STR08,CUS0091,2,2296.42,Performance Issues
RET00277,SAL10815,2024-10-13,PRD064,STR06,CUS0482,1,739.21,Performance Issues
RET00278,SAL01175,2025-07-19,PRD035,STR19,CUS0745,1,186.2,Changed Mind
RET00279,SAL04843,2025-02-02,PRD045,STR15,CUS0788,1,574.95,Damaged
RET00280,SAL03647,2023-01-17,PRD079,STR11,CUS0603,1,65.76,Performance Issues
RET00281,SAL04443,2024-07-21,PRD061,STR11,CUS0117,1,1879.06,Wrong Item
RET00282,SAL11222,2025-06-26,PRD123,STR19,CUS0165,1,94.63,Defective
RET00283,SAL08770,2022-01-08,PRD024,STR04,CUS0222,1,202.55,Damaged
RET00284,SAL05705,2025-07-12,PRD060,STR05,CUS0390,1,429.76,Damaged
RET00285,SAL11939,2025-06-02,PRD080,STR19,CUS0296,2,3874.96,Changed Mind
RET00286,SAL10623,2024-04-28,PRD109,STR10,CUS0782,2,1623.99,Not as Described
RET00287,SAL06357,2024-12-22,PRD001,STR17,CUS0362,1,1006.41,Changed Mind
RET00288,SAL11460,2024-05-02,PRD002,STR15,CUS0513,1,624.74,Performance Issues
RET00289,SAL05285,2024-01-17,PRD025,STR04,CUS0341,1,415.07,Defective
RET00290,SAL00702,2023-02-17,PRD135,STR15,CUS0083,1,900.0,Defective
RET00291,SAL10953,2022-07-02,PRD091,STR09,CUS0279,1,330.92,Changed Mind
RET00292,SAL13199,2022-02-07,PRD148,STR01,CUS0363,1,456.66,Performance Issues
RET00293,SAL11962,2024-04-30,PRD029,STR03,CUS0689,1,552.59,Wrong Item
RET00294,SAL03411,2025-04-29,PRD026,STR02,CUS0078,1,1065.93,Defective
RET00295,SAL02935,2025-03-15,PRD123,STR10,CUS0094,1,369.16,Wrong Item
RET00296,SAL07263,2023-06-04,PRD058,STR18,CUS0799,1,87.42,Not as Described
RET00297,SAL08253,2025-07-01,PRD095,STR06,CUS0754,1,567.01,Changed Mind
RET00298,SAL13924,2025-05-24,PRD019,STR20,CUS0001,1,543.37,Changed Mind
RET00299,SAL14673,2022-10-14,PRD076,STR19,CUS0443,1,2272.64,Damaged
RET00300,SAL05474,2022-11-11,PRD144,STR01,CUS0592,1,667.39,Changed Mind
RET00301,SAL03507,2025-05-21,PRD084,STR18,CUS0462,3,1983.36,Damaged
RET00302,SAL03912,2024-09-19,PRD057,STR17,CUS0101,1,435.46,Damaged
RET00303,SAL03416,2023-06-28,PRD106,STR02,CUS0435,1,336.08,Wrong Item
RET00304,SAL00680,2024-03-12,PRD113,STR12,CUS0492,1,366.71,Not as Described
RET00305,SAL09934,2022-09-11,PRD017,STR09,CUS0046,1,60.33,Defective
RET00306,SAL08973,2023-10-03,PRD016,STR17,CUS0252,1,826.15,Damaged
RET00307,SAL12489,2023-01-30,PRD088,STR20,CUS0566,1,474.91,Performance Issues
